CODGEO,nb_assos,nb_environnement,nb_culture,nb_social,nb_sport,nb_sante,nb_auto,pop,densite_assos_1000hab,densite_environnement_1000hab,densite_culture_1000hab,densite_social_1000hab,densite_sport_1000hab
01004,196,7,46,35,44,11,12,14854.0,13.2,0.47,3.1,2.36,2.96
01005,8,0,4,0,4,0,0,1897.0,4.22,0.0,2.11,0.0,2.11
01007,37,4,9,7,9,3,1,2833.0,13.06,1.41,3.18,2.47,3.18
01009,8,0,3,0,2,0,0,322.0,24.84,0.0,9.32,0.0,6.21
01010,11,2,3,0,1,0,0,1125.0,9.78,1.78,2.67,0.0,0.89
01011,9,1,6,2,3,0,0,383.0,23.5,2.61,15.67,5.22,7.83
01012,6,1,3,1,1,1,0,327.0,18.35,3.06,9.17,3.06,3.06
01013,10,0,3,0,4,1,1,141.0,70.92,0.0,21.28,0.0,28.37
01014,38,1,4,11,11,1,2,3409.0,11.15,0.29,1.17,3.23,3.23
01019,3,2,1,1,1,0,0,26.0,115.38,76.92,38.46,38.46,38.46
01021,12,1,4,2,1,1,0,1498.0,8.01,0.67,2.67,1.34,0.67
01022,23,3,4,2,6,1,0,1177.0,19.54,2.55,3.4,1.7,5.1
01023,1,0,0,0,0,0,0,77.0,12.99,0.0,0.0,0.0,0.0
01024,25,0,20,1,4,0,0,3336.0,7.49,0.0,6.0,0.3,1.2
01026,9,0,2,1,2,1,0,979.0,9.19,0.0,2.04,1.02,2.04
01028,8,0,2,2,3,0,0,621.0,12.88,0.0,3.22,3.22,4.83
01029,7,1,4,0,0,0,0,700.0,10.0,1.43,5.71,0.0,0.0
01030,15,2,10,1,3,1,0,830.0,18.07,2.41,12.05,1.2,3.61
01032,27,2,7,6,8,1,1,3434.0,7.86,0.58,2.04,1.75,2.33
01034,139,5,28,22,32,11,3,9239.0,15.04,0.54,3.03,2.38,3.46
01037,8,0,0,1,1,1,0,310.0,25.81,0.0,0.0,3.23,3.23
01038,3,0,1,0,0,1,0,764.0,3.93,0.0,1.31,0.0,0.0
01040,3,0,0,0,1,0,1,480.0,6.25,0.0,0.0,0.0,2.08
01042,2,1,2,0,1,0,0,290.0,6.9,3.45,6.9,0.0,3.45
01043,42,6,7,6,11,3,1,4877.0,8.61,1.23,1.44,1.23,2.26
01044,6,0,3,0,3,1,1,626.0,9.58,0.0,4.79,0.0,4.79
01045,3,0,2,1,0,0,0,284.0,10.56,0.0,7.04,3.52,0.0
01046,3,0,1,0,1,0,0,904.0,3.32,0.0,1.11,0.0,1.11
01047,15,1,8,2,2,0,0,1292.0,11.61,0.77,6.19,1.55,1.55
01049,23,0,5,5,9,1,1,3361.0,6.84,0.0,1.49,1.49,2.68
01051,4,1,2,1,3,0,0,95.0,42.11,10.53,21.05,10.53,31.58
01052,3,0,1,0,0,0,0,327.0,9.17,0.0,3.06,0.0,0.0
01053,714,23,242,122,138,65,13,41525.0,17.19,0.55,5.83,2.94,3.32
01057,5,1,0,0,2,1,1,510.0,9.8,1.96,0.0,0.0,3.92
01058,6,1,1,0,0,0,0,818.0,7.33,1.22,1.22,0.0,0.0
01061,3,1,2,0,0,0,0,1129.0,2.66,0.89,1.77,0.0,0.0
01063,13,0,7,1,4,0,0,576.0,22.57,0.0,12.15,1.74,6.94
01064,9,0,0,0,3,1,0,1099.0,8.19,0.0,0.0,0.0,2.73
01065,8,0,3,1,2,0,0,1851.0,4.32,0.0,1.62,0.54,1.08
01067,5,1,2,0,1,0,2,261.0,19.16,3.83,7.66,0.0,3.83
01068,27,2,10,2,9,0,1,761.0,35.48,2.63,13.14,2.63,11.83
01069,8,0,3,0,2,0,0,1505.0,5.32,0.0,1.99,0.0,1.33
01071,45,1,13,11,6,3,2,5307.0,8.48,0.19,2.45,2.07,1.13
01072,22,1,10,3,4,0,1,3285.0,6.7,0.3,3.04,0.91,1.22
01073,10,1,3,0,4,0,0,992.0,10.08,1.01,3.02,0.0,4.03
01074,19,0,8,1,4,1,0,2559.0,7.42,0.0,3.13,0.39,1.56
01075,8,0,5,0,0,1,0,1430.0,5.59,0.0,3.5,0.0,0.0
01078,12,2,4,1,2,0,0,1619.0,7.41,1.24,2.47,0.62,1.24
01079,21,2,6,6,4,1,0,826.0,25.42,2.42,7.26,7.26,4.84
01081,12,1,4,1,7,0,0,718.0,16.71,1.39,5.57,1.39,9.75
01082,11,1,4,3,3,0,0,616.0,17.86,1.62,6.49,4.87,4.87
01083,4,1,1,0,2,0,0,1003.0,3.99,1.0,1.0,0.0,1.99
01084,7,0,4,1,2,0,0,931.0,7.52,0.0,4.3,1.07,2.15
01087,5,1,1,1,3,0,1,279.0,17.92,3.58,3.58,3.58,10.75
01088,7,0,2,1,1,0,0,898.0,7.8,0.0,2.23,1.11,1.11
01089,14,3,2,1,5,0,1,2287.0,6.12,1.31,0.87,0.44,2.19
01090,3,0,2,0,0,0,0,360.0,8.33,0.0,5.56,0.0,0.0
01092,8,0,4,0,4,1,0,1649.0,4.85,0.0,2.43,0.0,2.43
01093,55,5,19,3,13,5,2,5059.0,10.87,0.99,3.76,0.59,2.57
01094,1,0,0,0,0,0,0,767.0,1.3,0.0,0.0,0.0,0.0
01096,4,0,2,0,0,0,0,1036.0,3.86,0.0,1.93,0.0,0.0
01098,6,0,0,0,4,0,0,1188.0,5.05,0.0,0.0,0.0,3.37
01099,25,2,5,2,3,2,0,1600.0,15.62,1.25,3.12,1.25,1.88
01100,2,0,2,0,0,0,0,131.0,15.27,0.0,15.27,0.0,0.0
01101,2,0,1,0,0,0,0,150.0,13.33,0.0,6.67,0.0,0.0
01102,4,0,2,0,3,0,0,973.0,4.11,0.0,2.06,0.0,3.08
01103,13,2,3,1,4,0,0,2261.0,5.75,0.88,1.33,0.44,1.77
01104,10,0,3,0,1,1,0,445.0,22.47,0.0,6.74,0.0,2.25
01105,14,0,7,0,3,0,0,1916.0,7.31,0.0,3.65,0.0,1.57
01106,2,0,1,0,1,0,1,176.0,11.36,0.0,5.68,0.0,5.68
01108,14,0,6,0,3,2,0,1227.0,11.41,0.0,4.89,0.0,2.44
01109,18,0,6,4,10,1,0,2249.0,8.0,0.0,2.67,1.78,4.45
01110,4,0,0,0,1,0,0,163.0,24.54,0.0,0.0,0.0,6.13
