CODGEO,LIBGEO,services,commerces,enseignement,sante,transport,sport_culture,tourisme,total
01001,,45,0,3,0,0,15,0,63
01002,,15,0,0,3,0,3,0,21
01004,,969,429,42,759,30,123,12,2364
01005,,126,27,3,39,0,30,9,234
01006,,9,0,0,0,0,3,0,12
01007,,147,18,6,60,6,39,0,276
01008,,66,15,3,3,0,21,0,108
01009,,6,6,0,0,0,3,0,15
01010,,69,6,3,6,0,27,6,117
01011,,18,0,3,0,6,6,0,33
01012,,27,3,3,0,0,12,3,48
01013,,6,0,3,3,0,9,0,21
01014,,240,144,15,84,9,54,3,549
01015,,39,0,3,0,0,12,0,54
01016,,27,3,0,0,0,3,3,36
01017,,30,3,3,3,0,15,0,54
01019,,3,0,0,0,0,3,0,6
01021,,72,12,6,36,0,24,6,156
01022,,75,36,9,66,0,21,3,210
01023,,6,0,0,0,0,0,0,6
01024,,183,39,6,78,3,24,3,336
01025,,141,27,9,48,3,48,3,279
01026,,54,12,9,33,0,15,0,123
01027,,162,27,9,18,6,33,0,255
01028,,45,0,3,0,6,27,0,81
01029,,27,6,3,6,0,21,0,63
01030,,72,6,3,0,3,24,0,108
01031,,168,51,27,48,3,63,6,366
01032,,189,30,12,72,18,27,0,348
01033,,1122,294,39,339,24,186,21,2025
01034,,738,303,39,471,9,75,12,1647
01035,,9,3,0,0,0,18,0,30
01036,,54,3,0,0,3,27,3,90
01037,,9,0,3,3,0,9,0,24
01038,,48,3,3,6,0,18,0,78
01040,,21,0,3,3,0,24,0,51
01041,,36,3,3,0,0,12,0,54
01042,,9,3,0,0,0,6,0,18
01043,,396,240,9,144,24,54,9,876
01044,,27,3,3,0,3,6,3,45
01045,,18,0,0,0,0,3,0,21
01046,,51,0,3,9,0,18,0,81
01047,,93,6,3,18,6,27,3,156
01049,,249,21,12,69,3,48,3,405
01050,,12,0,3,0,0,3,0,18
01051,,15,0,0,0,3,6,0,24
01052,,30,3,0,0,0,0,0,33
01053,,2553,1161,225,1755,57,462,66,6279
01054,,48,0,3,0,0,18,0,69
01056,,12,3,0,0,3,12,0,30
01057,,33,0,3,0,0,9,0,45
01058,,60,9,3,27,3,39,0,141
01060,,33,9,3,24,0,24,0,93
01061,,75,3,3,3,0,18,0,102
01062,,57,3,3,3,6,15,0,87
01063,,30,0,3,6,3,24,0,66
01064,,87,9,6,6,6,12,0,126
01065,,87,6,3,33,0,30,3,162
01066,,6,0,0,0,0,9,0,15
