codgeo,libgeo,code_epci,n_ecoles_c108,n_equipements,n_carreaux,pop_insee,pct_habitat_zone_ecole_15,pct_equipements_zone_ecole_15
01001,L'Abergement-Clémenciat,200069193,1,4,72,865,65.78,100.0
01002,L'Abergement-de-Varey,240100883,0,2,26,266,0.0,0.0
01004,Ambérieu-en-Bugey,240100883,9,95,186,14822,99.33,100.0
01005,Ambérieux-en-Dombes,200042497,1,16,64,1986,97.94,100.0
01006,Ambléon,200040350,0,1,8,107,0.0,0.0
01007,Ambronay,240100883,2,14,119,2767,68.81,92.86
01008,Ambutrix,240100883,1,9,24,716,100.0,100.0
01009,Andert-et-Condon,200040350,0,1,37,360,0.0,0.0
01010,Anglefort,200070852,1,9,72,1118,79.51,88.89
01011,Apremont,200042935,1,1,28,405,98.77,100.0
01012,Aranc,240100578,1,4,31,322,74.18,100.0
01013,Arandas,240100883,1,2,13,127,99.21,100.0
01014,Arbent,200042935,5,34,68,3386,100.0,100.0
01015,Arboys en Bugey,200040350,1,3,51,722,45.81,33.33
01016,Arbigny,200071371,0,3,41,472,31.53,0.0
01017,Argis,240100883,1,4,30,412,92.72,100.0
01019,Armix,200040350,0,1,4,21,0.0,0.0
01021,Ars-sur-Formans,200042497,2,8,34,1422,100.0,100.0
01022,Artemare,200040350,3,21,29,948,100.0,100.0
01023,Asnières-sur-Saône,200071371,0,1,5,76,0.0,0.0
01024,Attignat,200071751,2,23,137,3298,70.36,78.26
01025,Bâgé-Dommartin,200071371,3,28,403,4056,55.23,78.57
01026,Bâgé-le-Châtel,200071371,1,9,9,582,100.0,100.0
01027,Balan,240100610,2,25,43,1642,95.25,84.0
01028,Baneins,200069193,1,7,50,585,95.21,85.71
01029,Beaupont,200071751,1,10,86,631,81.62,100.0
01030,Beauregard,200042497,1,8,7,483,100.0,100.0
01031,Bellignat,200042935,5,33,37,2242,100.0,100.0
01032,Béligneux,240100610,3,17,66,2720,89.69,88.24
01033,Valserhône,240100891,10,107,289,14285,97.77,97.2
01034,Belley,200040350,6,84,244,8508,95.16,96.43
01035,Belleydoux,200042935,0,2,49,319,0.0,0.0
01036,Valromey-sur-Séran,200040350,0,7,160,1220,24.67,14.29
01037,Bénonces,240100883,1,2,20,283,98.23,100.0
01038,Bény,200071751,2,7,102,755,80.26,100.0
01040,Béréziat,200071751,1,8,54,501,88.82,100.0
01041,Bettant,240100883,1,4,14,661,100.0,100.0
01042,Bey,200070555,0,3,22,270,0.0,0.0
01043,Beynost,240100800,4,37,85,4728,99.7,100.0
01044,Billiat,240100891,1,5,27,608,99.84,100.0
01045,Birieux,200069193,0,3,26,266,0.0,0.0
01046,Biziat,200070555,1,8,66,776,69.09,87.5
01047,Blyes,240100883,1,11,32,1277,100.0,100.0
01049,La Boisse,240100610,3,25,52,3254,100.0,100.0
01050,Boissey,200071371,1,2,44,352,84.4,100.0
01051,Bolozon,200042935,0,2,11,82,0.0,0.0
01052,Bouligneux,200069193,0,2,41,197,19.8,50.0
01053,Bourg-en-Bresse,200071751,34,298,304,33622,99.93,99.66
01054,Bourg-Saint-Christophe,240100883,1,6,36,1378,98.84,100.0
01056,Boyeux-Saint-Jérôme,200029999,0,1,32,341,0.0,0.0
01057,Boz,200071371,1,4,23,460,100.0,100.0
