code_epci,libepci,n_communes,n_ecoles_c108,n_equipements,n_carreaux,pop_insee,pct_habitat_zone_ecole_15,pct_equipements_zone_ecole_15
200000172,CC Faucigny-Glières,7,13,160,820,24276,87.37,97.5
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,9,18,194,2110,34667,60.35,90.72
200000545,CC des Portes de Romilly-sur-Seine,6,10,129,352,17510,98.75,94.57
200000628,CC Rhône Lez Provence,5,5,170,1047,24362,62.94,63.53
200000800,CC Coeur de Sologne,6,4,91,570,9554,60.54,63.74
200000925,CC de la Plaine Dijonnaise,22,6,154,579,20846,27.26,24.68
200000933,CC Sauldre et Sologne,13,8,129,1118,12760,66.16,71.32
200004802,CC du Pays de Fayence,9,6,231,1858,27002,29.08,37.23
200005932,CC des Portes de Sologne,7,6,112,887,15157,76.05,84.82
200005957,CC de la Région de Rambervillers,30,7,127,694,11712,58.71,56.69
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",53,21,447,1752,47066,67.62,63.98
200006716,CC du Nogentais,23,9,119,599,15176,59.54,64.71
200006930,CC du Haut-Allier,10,5,77,398,4190,68.79,75.32
200006971,CC du Perche,20,9,170,1219,14802,66.18,72.94
200007052,CC de la Marche Berrichonne,9,2,75,1068,4804,15.27,25.33
200007177,CC Pays de Nérondes,12,2,52,505,4068,39.91,51.92
200010650,CA du Grand Dole,47,23,435,1519,51216,76.57,77.7
200010700,CA Caux Seine Agglo,50,24,484,2956,67004,50.02,57.64
200011773,CA Annemasse-les Voirons-Agglomération,12,23,409,897,58970,93.81,93.89
200011781,CC Portes du Berry entre Loire et Val d'Aubois,12,8,70,798,9066,49.09,55.71
200012060,CC Petite Montagne,23,3,85,583,5940,18.96,31.76
200013050,CC Sauer-Pechelbronn,24,15,152,574,15192,81.75,69.74
200015162,CC de l'Oriente,22,2,64,590,4200,11.03,12.5
200016905,CC du Pays de Lamastre,11,7,71,939,5946,60.05,80.28
200017341,CC Lodévois et Larzac,28,8,154,820,14308,69.16,66.88
200017846,CA Étampois Sud-Essonne,37,9,359,1214,51216,47.35,41.5
200018083,CC de Desvres-Samer,31,11,150,1258,19580,63.57,71.33
200018166,CC Le Grésivaudan,43,25,643,2926,93355,50.93,50.7
200018406,CC du Romorantinais et du Monestois,15,9,242,1756,30734,58.17,66.12
200018521,CC du Val de Bouzanne,12,2,58,917,5465,17.15,29.31
200018653,CA Cap Excellence,3,16,950,0,0,,83.68
200022986,CC du Grand Pic Saint-Loup,36,9,309,1648,48796,16.73,16.83
200023075,CC du Pays de Maîche,43,10,181,1080,17302,47.19,45.86
200023125,CC Les Portes Briardes entre Villes et Forêts,5,4,237,418,40252,71.83,68.35
200023240,CC Pays de Nemours,21,12,188,673,26908,74.6,81.38
200023299,CC Coeur de Tarentaise,6,9,120,293,7955,87.35,77.5
200023307,CA du Grand Villeneuvois,19,11,331,3237,41976,55.37,60.42
200023372,CC de la Vallée de Chamonix-Mont-Blanc,4,8,101,523,13704,81.24,90.1
200023414,Métropole Rouen Normandie,71,66,2439,4662,383354,65.57,70.23
200023620,CC de la Gascogne Toulousaine,14,5,147,1312,21384,36.99,52.38
200023737,CA du Grand Cahors,36,22,372,2956,35712,70.63,70.7
200023778,CC du Pays de Saint-Gilles-Croix-de-Vie,14,20,290,2239,53705,73.41,82.41
200023794,CC de Blaye,21,14,151,1365,18008,71.68,78.15
200023919,CC Gâtinais Val de Loing,20,7,132,884,17793,15.16,18.94
200026573,CC Haut-Jura Saint-Claude,22,8,189,960,18500,61.21,62.96
200027027,CC Arc Sud Bretagne,12,19,216,2139,27260,66.14,80.56
200027076,CC Arnon Boischaut Cher,18,2,85,761,7280,22.8,28.24
200027100,CC Méditerranée Porte des Maures,6,4,288,1719,41113,30.74,31.6
200027183,CU Perpignan Méditerranée Métropole,36,24,1670,3263,255348,51.95,54.85
200027217,CC Sarlat-Périgord Noir,13,9,163,1729,13322,50.15,60.74
200027308,CC d'Auberive Vingeanne et Montsaugeonnais,51,8,151,728,7970,26.66,36.42
200027548,CC des Savanes,4,3,188,0,0,,62.77
200029734,CC des 4B Sud Charente,40,12,201,2478,16802,37.61,49.25
200029999,CC Rives de l'Ain - Pays du Cerdon,14,9,120,601,13865,68.5,81.67
200030195,Métropole Nice Côte d'Azur,49,91,3133,5271,520528,91.74,88.48
200030385,CA de Blois Agglopolys,43,32,744,3353,98836,65.08,65.46
200030435,CC d'Aire-sur-l'Adour,22,3,127,1483,11840,34.45,36.22
200030526,CC du Ried de Marckolsheim,18,10,152,529,19740,46.7,42.76
200030633,CC du Caudrésis et du Catésis,46,40,427,1557,58532,78.38,78.45
200030658,CC du Trièves,27,8,142,976,9268,35.26,45.77
200030674,CA Val de Garonne Agglomération,43,28,529,4893,52300,66.56,68.62
200032514,CC Berry-Loire-Vauvise,14,5,52,670,4812,42.65,63.46
200033025,CA de Bar-le-Duc - Sud Meuse,33,17,279,891,30292,78.86,72.04
200033090,CC Plaines et Monts de France,20,13,128,434,22912,86.95,82.03
200033116,CC Cluses-Arve et Montagnes,10,13,290,916,40730,78.6,84.14
200033173,CC de la Haute Vallée de Chevreuse,10,6,125,507,21726,50.6,60.0
200033181,CA Chartres Métropole,66,38,823,2437,121046,68.74,65.49
200033207,CC Vierzon-Sologne-Berry,10,10,208,1124,28886,72.9,77.88
200033298,CC des Coëvrons,29,23,251,2838,25050,66.91,80.48
200033579,CU d'Arras,46,39,640,1469,90790,86.69,84.69
200033827,CC de Fium'orbu Castellu,13,1,111,842,9505,2.06,4.5
200033868,CC des Ballons des Hautes-Vosges,8,9,125,991,13252,85.75,92.8
200034023,CC Tarn-Agout,22,14,223,1812,30449,67.06,77.13
200034031,CC des Monts d'Alban et du Villefranchois,14,8,87,975,5541,52.63,75.86
200034049,CC Centre Tarn,11,7,93,1304,10234,47.06,68.82
200034056,CC du Lautrécois et du Pays d'Agout,28,11,120,1870,12718,44.89,67.5
200034064,CC du Cordais et du Causse (4 C),19,4,66,806,3806,33.68,57.58
200034098,CC des Montagnes du Giffre,8,8,99,908,11713,68.41,88.89
200034130,CC Gally Mauldre,11,9,120,512,21758,84.65,84.17
200034197,CC de Montaigne Montravel et Gurson,18,8,92,1477,10458,49.26,70.65
200034205,CC de la Costa Verde,23,6,95,619,6518,48.7,47.37
200034270,CC du Pays de Barr,20,13,178,552,22340,65.29,70.22
200034379,CC Pays d'Uzès,32,14,267,1527,27148,71.27,67.04
200034411,CC du Piémont Cévenol,34,9,214,1353,20371,30.94,37.85
200034601,CC Causses Aigoual Cévennes,15,5,87,756,4468,37.95,29.89
200034635,CC du Kochersberg,23,9,162,515,24203,39.78,39.51
200034692,CA du Gard Rhodanien,44,29,530,2965,68556,63.41,70.19
200034700,CA Durance-Lubéron-Verdon Agglomération,25,14,494,2451,56408,46.19,48.58
200034718,"CC de Vitry, Champagne et Der",35,10,239,746,20950,74.1,73.64
