CODGEO,diversite_equip,dens_services,dens_commerces,dens_enseignement,dens_sante,dens_transports,dens_sport_culture,sup_services,sup_commerces,sup_enseignement,sup_sante,sup_transports,sup_sport_culture
97101,4,20.88,9.5,0.13,1.98,0.0,1.38,1,1,1,1,0,0
97102,3,20.73,7.4,0.25,1.23,0.0,2.71,1,1,1,0,0,0
97103,4,31.41,21.19,0.23,2.1,0.0,2.07,1,1,1,1,0,0
97104,4,20.46,8.74,0.2,1.39,0.0,2.58,1,1,1,1,0,0
97105,4,21.47,20.86,0.31,3.99,0.0,3.78,1,1,1,1,0,0
97106,4,25.02,7.54,0.15,2.71,0.0,3.17,1,1,1,1,0,0
97107,3,14.27,8.29,0.11,1.47,0.0,1.92,0,1,1,1,0,0
97108,3,24.39,8.44,0.31,0.94,0.0,3.13,1,1,1,0,0,0
97109,3,11.99,3.46,0.13,3.06,0.0,3.73,0,1,1,1,0,0
97110,5,19.41,17.25,0.72,3.59,0.0,10.06,1,1,1,1,0,1
97111,3,32.89,6.12,0.25,1.02,0.0,3.57,1,1,1,0,0,0
97112,4,31.43,17.72,0.21,4.22,0.0,2.74,1,1,1,1,0,0
97113,4,25.75,7.98,0.07,1.73,0.0,1.62,1,1,1,1,0,0
97114,3,14.66,5.11,0.13,1.31,0.0,1.18,0,1,1,1,0,0
97115,3,16.79,4.05,0.05,1.51,0.0,0.86,0,1,1,1,0,0
97116,3,18.43,7.86,0.06,2.2,0.0,1.76,0,1,1,1,0,0
97117,3,18.11,10.82,0.13,2.34,0.0,1.77,0,1,1,1,0,0
97118,3,17.22,6.02,0.08,1.36,0.0,1.15,0,1,1,1,0,0
97119,4,20.0,7.56,0.12,2.68,0.0,2.19,1,1,1,1,0,0
97120,4,31.2,33.89,0.41,4.14,0.0,3.45,1,1,1,1,0,0
97121,4,26.15,5.77,0.17,2.55,0.0,3.06,1,1,1,1,0,0
97122,3,13.45,6.64,0.18,4.66,0.0,3.05,0,1,1,1,0,0
97124,2,8.6,2.52,0.09,1.68,0.0,2.52,0,0,1,1,0,0
97125,4,36.68,16.53,0.08,2.23,0.0,2.0,1,1,1,1,0,0
97126,4,28.09,11.08,0.4,1.58,0.0,2.37,1,1,1,1,0,0
97128,4,19.6,6.71,0.08,1.4,0.0,1.32,1,1,1,1,0,0
97129,3,21.67,7.32,0.11,1.13,0.0,1.59,1,1,1,0,0,0
97130,4,23.99,9.81,0.0,3.27,0.0,9.81,1,1,0,1,0,1
97131,4,46.79,16.04,0.67,1.34,0.0,2.01,1,1,1,1,0,0
97132,3,12.98,6.03,0.13,1.7,0.0,1.44,0,1,1,1,0,0
97133,0,15.11,1.12,0.0,1.12,0.0,3.36,0,0,0,0,0,0
97134,3,18.96,5.7,0.14,1.14,0.0,1.85,1,1,1,0,0,0
97201,1,15.74,4.08,0.0,1.17,0.0,1.17,0,1,0,0,0,0
97202,3,20.79,4.53,0.27,0.53,0.0,2.13,1,1,1,0,0,0
97203,3,16.26,5.78,0.36,5.42,0.0,4.34,0,1,1,1,0,0
97204,3,17.34,5.69,0.28,1.42,0.0,3.41,0,1,1,1,0,0
97205,1,13.56,2.22,0.0,1.78,0.0,2.0,0,0,0,1,0,0
97206,3,23.91,5.45,0.18,0.88,0.0,1.41,1,1,1,0,0,0
97207,4,19.15,8.54,0.17,1.45,0.0,1.62,1,1,1,1,0,0
97208,1,14.04,3.12,0.0,0.0,0.0,3.12,0,1,0,0,0,0
97209,4,18.95,11.49,0.17,2.91,0.0,1.94,1,1,1,1,0,0
97210,3,18.0,6.06,0.13,2.25,0.0,1.56,0,1,1,1,0,0
97211,3,18.83,5.65,0.0,0.0,0.0,7.53,1,1,0,0,0,1
97212,3,11.95,4.05,0.1,1.32,0.0,1.22,0,1,1,1,0,0
97213,4,19.53,12.79,0.13,2.35,0.0,1.19,1,1,1,1,0,0
97214,3,12.33,6.17,0.15,2.41,0.0,2.86,0,1,1,1,0,0
97215,0,5.9,2.95,0.0,0.0,0.0,3.93,0,0,0,0,0,0
97216,2,12.52,2.31,0.33,2.64,0.0,2.64,0,0,1,1,0,0
97217,4,20.27,9.2,0.12,2.68,0.0,1.98,1,1,1,1,0,0
97218,3,11.65,3.3,0.44,3.3,0.0,2.86,0,1,1,1,0,0
97219,3,15.98,4.36,0.0,3.63,0.0,5.81,0,1,0,1,0,1
97220,3,17.16,4.35,0.09,1.79,0.0,1.62,0,1,1,1,0,0
97221,3,17.5,7.23,0.17,1.85,0.0,2.27,0,1,1,1,0,0
97222,3,17.74,5.96,0.14,2.44,0.0,1.74,0,1,1,1,0,0
97223,2,12.85,2.82,0.1,1.75,0.0,1.66,0,0,1,1,0,0
97224,3,12.83,3.35,0.19,2.23,0.0,1.98,0,1,1,1,0,0
97225,3,16.14,10.03,0.24,2.2,0.0,2.2,0,1,1,1,0,0
97226,4,22.55,6.7,0.22,2.23,0.0,3.35,1,1,1,1,0,0
97227,3,17.54,5.67,0.32,1.28,0.0,1.93,0,1,1,1,0,0
97228,3,15.9,6.35,0.2,2.59,0.0,2.32,0,1,1,1,0,0
97229,3,13.96,5.74,0.21,2.07,0.0,2.43,0,1,1,1,0,0
97230,3,13.71,9.11,0.17,2.47,0.0,2.98,0,1,1,1,0,0
97231,4,24.7,10.48,0.14,2.01,0.0,2.3,1,1,1,1,0,0
97232,3,17.7,4.84,0.12,1.3,0.0,0.94,0,1,1,1,0,0
97233,1,18.56,2.81,0.0,1.12,0.0,1.69,1,0,0,0,0,0
97234,2,8.94,4.73,0.0,2.1,0.0,4.21,0,1,0,1,0,0
97301,1,6.65,0.6,0.6,0.0,0.0,4.23,0,0,1,0,0,0
97302,3,18.36,8.82,0.13,1.8,0.0,1.58,0,1,1,1,0,0
97303,3,11.72,4.1,0.59,0.0,0.0,6.44,0,1,1,0,0,1
97304,2,16.62,5.73,0.2,1.18,0.0,2.15,0,1,1,0,0,0
97305,1,13.26,2.6,0.11,0.69,0.0,1.43,0,0,1,0,0,0
97306,1,2.98,2.47,0.17,0.34,0.0,1.96,0,0,1,0,0,0
97307,3,16.46,4.57,0.14,1.35,0.0,1.95,0,1,1,1,0,0
97308,1,4.66,2.66,0.22,0.44,0.0,4.0,0,0,1,0,0,0
97309,3,14.74,4.66,0.11,1.76,0.0,2.27,0,1,1,1,0,0
97310,2,10.85,2.05,0.29,1.47,0.0,4.11,0,0,1,1,0,0
97311,1,6.51,2.67,0.14,0.54,0.0,1.13,0,0,1,0,0,0
97312,2,9.54,3.89,0.35,1.06,0.0,4.24,0,1,1,0,0,0
97313,0,14.57,1.52,0.0,0.3,0.0,1.52,0,0,0,0,0,0
97314,0,7.97,0.0,0.0,0.0,0.0,3.98,0,0,0,0,0,0
97352,2,9.46,3.15,0.0,0.0,0.0,6.31,0,1,0,0,0,1
97353,1,3.16,1.42,0.11,0.11,0.0,0.98,0,0,1,0,0,0
97356,1,2.8,0.93,0.47,0.0,0.0,4.19,0,0,1,0,0,0
97357,1,1.32,0.55,0.11,0.11,0.0,0.44,0,0,1,0,0,0
97358,0,16.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
97360,1,1.73,0.51,0.1,0.1,0.0,0.51,0,0,1,0,0,0
97361,0,3.96,1.32,0.0,0.0,0.0,3.3,0,0,0,0,0,0
97362,1,1.43,0.71,0.18,0.0,0.0,0.71,0,0,1,0,0,0
97401,1,11.37,2.62,0.09,0.79,0.0,1.57,0,0,1,0,0,0
97402,3,13.56,4.05,0.07,1.35,0.0,2.47,0,1,1,1,0,0
97403,3,12.67,3.24,0.14,1.27,0.0,2.96,0,1,1,1,0,0
97404,2,16.41,5.2,0.14,1.08,0.0,2.67,0,1,1,0,0,0
97405,3,14.74,4.28,0.08,1.27,0.0,2.22,0,1,1,1,0,0
97406,2,12.31,4.1,0.15,0.88,0.0,2.2,0,1,1,0,0,0
97407,3,13.5,7.77,0.12,1.98,0.0,1.71,0,1,1,1,0,0
97408,3,11.6,3.18,0.09,1.45,0.0,1.45,0,1,1,1,0,0
97409,4,19.14,6.47,0.1,1.38,0.0,1.31,1,1,1,1,0,0
97410,3,13.37,4.67,0.14,1.62,0.0,2.51,0,1,1,1,0,0
97411,3,13.29,6.62,0.1,1.44,0.0,1.71,0,1,1,1,0,0
97412,3,11.96,5.1,0.1,1.34,0.0,1.96,0,1,1,1,0,0
97413,2,18.4,6.13,0.09,1.18,0.0,1.89,0,1,1,0,0,0
97414,2,13.33,6.21,0.09,1.11,0.0,1.54,0,1,1,0,0,0
97415,3,16.26,7.17,0.1,1.55,0.0,2.07,0,1,1,1,0,0
97416,3,16.7,9.11,0.14,1.53,0.0,1.59,0,1,1,1,0,0
97417,3,10.84,4.14,0.2,1.77,0.0,3.55,0,1,1,1,0,0
97418,3,14.94,6.49,0.12,2.1,0.0,2.13,0,1,1,1,0,0
97419,2,10.88,4.26,0.16,0.63,0.0,3.47,0,1,1,0,0,0
97420,3,14.82,4.57,0.08,1.48,0.0,1.56,0,1,1,1,0,0
97421,2,13.94,6.07,0.14,1.1,0.0,3.73,0,1,1,0,0,0
97422,2,15.43,4.6,0.1,0.96,0.0,1.78,0,1,1,0,0,0
97423,3,14.2,4.49,0.14,3.19,0.0,3.77,0,1,1,1,0,0
97424,2,12.99,6.12,0.19,0.93,0.0,3.71,0,1,1,0,0,0
75056,4,21.67,12.48,0.1,1.86,0.01,0.8,1,1,1,1,0,0
77001,1,9.53,3.47,0.0,0.87,0.0,4.33,0,1,0,0,0,0
77002,2,27.13,2.47,0.0,3.7,0.0,2.47,1,0,0,1,0,0
77003,1,26.01,0.0,0.0,0.0,0.0,2.89,1,0,0,0,0,0
77004,2,16.08,3.22,0.0,0.0,0.0,6.43,0,1,0,0,0,1
77005,1,13.26,2.41,0.0,1.51,0.0,3.01,0,0,0,1,0,0
77006,1,17.14,2.02,0.0,2.02,0.0,0.0,0,0,0,1,0,0
77007,2,31.07,0.0,0.0,0.0,0.0,5.65,1,0,0,0,0,1
77008,1,10.79,0.0,0.83,0.83,0.0,4.15,0,0,1,0,0,0
77009,1,14.81,0.0,0.0,0.0,0.0,7.41,0,0,0,0,0,1
77010,2,20.08,2.11,0.0,2.11,0.0,2.11,1,0,0,1,0,0
77011,4,33.13,6.21,0.0,2.07,0.0,8.28,1,1,0,1,0,1
77012,1,7.02,0.0,0.0,0.0,0.0,7.02,0,0,0,0,0,1
77013,1,16.62,0.0,0.0,5.54,0.0,0.0,0,0,0,1,0,0
77014,3,11.49,2.93,0.07,2.2,0.07,1.32,0,0,1,1,1,0
77015,1,18.87,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
77016,2,14.42,1.25,0.0,1.88,0.63,2.51,0,0,0,1,1,0
77018,3,14.23,4.32,0.14,1.81,0.0,2.79,0,1,1,1,0,0
77019,0,17.49,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
77020,2,20.06,0.0,0.0,0.0,0.0,6.17,1,0,0,0,0,1
77021,1,13.07,6.54,0.0,0.0,0.0,0.0,0,1,0,0,0,0
77022,2,16.12,10.48,0.0,0.81,0.0,4.83,0,1,0,0,0,1
77023,0,13.81,2.76,0.0,0.0,0.0,0.0,0,0,0,0,0,0
77024,0,10.13,0.0,0.0,0.0,0.0,2.53,0,0,0,0,0,0
77025,0,17.14,1.14,0.0,0.0,0.0,3.43,0,0,0,0,0,0
77026,1,27.47,2.75,0.0,0.0,0.0,0.0,1,0,0,0,0,0
77027,2,18.18,2.6,0.0,2.6,0.0,6.06,0,0,0,1,0,1
77029,1,21.86,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
77030,1,14.21,7.75,0.0,0.0,0.0,3.88,0,1,0,0,0,0
77031,1,20.81,2.08,0.0,0.0,0.0,1.04,1,0,0,0,0,0
77032,2,24.6,1.07,0.0,2.14,0.0,4.28,1,0,0,1,0,0
77033,0,13.16,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
77034,1,18.06,5.16,0.0,0.0,0.0,2.58,0,1,0,0,0,0
77035,0,18.32,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
77036,0,14.93,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
77037,3,9.87,2.51,0.17,1.84,0.17,2.17,0,0,1,1,1,0
77038,1,14.39,2.4,0.0,0.0,0.0,4.8,0,0,0,0,0,1
77039,1,11.01,1.69,0.0,2.54,0.0,0.85,0,0,0,1,0,0
77040,2,13.24,2.16,0.0,1.62,0.27,2.43,0,0,0,1,1,0
77041,0,10.87,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
77042,1,15.22,3.65,0.0,0.91,0.0,1.52,0,1,0,0,0,0
77043,0,12.2,0.0,0.0,0.0,0.0,3.05,0,0,0,0,0,0
77044,2,14.83,1.06,0.0,2.12,0.0,5.3,0,0,0,1,0,1
77045,1,16.62,0.0,0.0,1.39,0.0,2.77,0,0,0,1,0,0
77046,1,15.06,3.01,0.0,0.0,0.0,6.02,0,0,0,0,0,1
77047,0,9.88,1.16,0.0,0.58,0.0,1.16,0,0,0,0,0,0
77048,4,20.64,6.15,0.0,1.45,0.36,2.9,1,1,0,1,1,0
77049,2,16.97,6.06,0.0,2.42,0.0,0.0,0,1,0,1,0,0
77050,0,7.62,1.9,0.0,0.0,0.0,1.9,0,0,0,0,0,0
77051,4,22.92,6.79,0.42,3.82,0.0,4.24,1,1,1,1,0,0
77052,1,8.33,0.0,0.0,0.0,0.0,5.56,0,0,0,0,0,1
77053,4,18.74,5.78,0.16,1.56,0.0,1.56,1,1,1,1,0,0
77054,0,8.22,2.74,0.0,0.0,0.0,4.11,0,0,0,0,0,0
77055,3,12.42,3.61,0.2,1.4,0.0,1.2,0,1,1,1,0,0
77056,0,13.7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
