CODGEO,variete_equip,nb_equip_total,densite_equip_1000hab
97101,81,1765,33.87
97102,34,131,32.33
97103,75,1762,57.01
97104,47,168,33.37
97105,77,493,50.41
97106,48,256,38.59
97107,61,462,26.06
97108,33,119,37.21
97109,49,168,22.38
97110,35,71,51.04
97111,34,172,43.86
97112,61,267,56.32
97113,69,1010,37.15
97114,39,171,22.39
97115,49,431,23.26
97116,58,482,30.32
97117,78,751,33.16
97118,65,627,25.83
97119,49,267,32.56
97120,73,1059,73.11
97121,46,222,37.7
97122,39,156,27.98
97124,45,165,15.42
97125,65,748,57.52
97126,33,110,43.51
97128,65,707,29.12
97129,58,561,31.82
97130,19,43,46.89
97131,28,100,66.84
97132,47,170,22.3
97133,18,37,20.71
97134,33,195,27.8
97201,19,38,22.16
97202,31,106,28.25
97203,36,89,32.15
97204,35,99,28.15
97205,33,88,19.56
97206,37,181,31.83
97207,65,554,30.93
97208,9,13,20.28
97209,84,2657,35.46
97210,60,448,28.01
97211,12,17,32.02
97212,43,184,18.63
97213,79,1426,35.97
97214,47,159,23.92
97215,9,13,12.78
97216,27,62,20.44
97217,61,294,34.24
97218,39,98,21.53
97219,18,41,29.77
97220,50,293,25.02
97221,59,345,29.02
97222,62,597,28.02
97223,48,197,19.18
97224,53,332,20.58
97225,47,126,30.82
97226,40,157,35.06
97227,51,250,26.74
97228,60,401,27.37
97229,66,472,24.4
97230,65,334,28.43
97231,53,276,39.63
97232,40,211,24.9
97233,21,43,24.18
97234,25,38,19.99
97301,12,20,12.08
97302,82,1947,30.68
97303,21,39,22.85
97304,69,637,25.88
97305,48,341,18.09
97306,35,93,7.91
97307,68,852,24.48
97308,31,54,11.99
97309,66,642,23.54
97310,26,64,18.77
97311,68,552,10.99
97312,29,54,19.08
97313,21,59,17.91
97314,3,3,11.95
97352,6,6,18.93
97353,22,53,5.78
97356,12,18,8.39
97357,15,23,2.52
97358,4,4,16.6
97360,18,29,2.95
97361,10,13,8.58
97362,12,17,3.03
97401,40,188,16.44
97402,57,287,21.51
97403,43,144,20.27
97404,56,353,25.51
97405,55,285,22.59
97406,41,134,19.65
97407,76,836,25.08
97408,67,626,17.76
97409,78,1624,28.42
97410,72,826,22.31
97411,92,3585,23.16
97412,68,794,20.46
97413,75,966,27.68
97414,77,1202,22.29
97415,84,2858,27.16
97416,86,2445,29.08
97417,37,104,20.5
97418,76,885,25.77
97419,39,123,19.39
97420,62,547,22.52
97421,38,181,24.99
97422,81,1874,22.87
97423,47,178,25.8
97424,44,129,23.93
97601,25,121,
97602,42,287,
97603,46,223,
97604,34,168,
97605,32,189,
97606,43,263,
97607,38,309,
97608,44,350,
97609,30,137,
97610,45,530,
97611,77,1395,
97612,36,223,
97613,30,150,
97614,39,242,
97615,41,201,
97616,42,256,
97617,48,292,
75056,93,78753,36.92
77001,17,21,18.2
77002,15,29,35.76
77003,9,10,28.9
77004,8,8,25.72
77005,29,67,20.2
77006,11,21,21.17
77007,9,13,36.72
77008,13,20,16.6
77009,3,3,22.22
77010,13,25,26.43
77011,15,24,49.69
77012,4,4,14.04
77013,6,8,22.16
77014,59,247,18.08
77015,2,2,18.87
77016,20,33,20.69
77018,47,167,23.29
77019,5,6,17.49
77020,12,17,26.23
77021,3,3,19.61
77022,23,40,32.23
77023,4,6,16.57
77024,5,5,12.66
77025,14,19,21.71
77026,7,11,30.22
77027,23,34,29.44
77029,3,4,21.86
77030,17,20,25.84
77031,11,23,23.93
77032,18,30,32.09
77033,2,3,13.16
77034,14,20,25.81
77035,8,10,18.32
77036,2,2,14.93
77037,38,100,16.73
77038,8,9,21.58
77039,12,19,16.09
77040,29,73,19.73
77041,3,3,10.87
77042,28,70,21.31
77043,5,5,15.24
77044,15,22,23.31
77045,8,15,20.78
77046,8,8,24.1
77047,12,22,12.79
77048,37,87,31.5
77049,13,21,25.45
77050,6,6,11.43
77051,43,90,38.2
77052,5,5,13.89
77053,74,534,27.79
77054,11,11,15.07
77055,31,94,18.83
77056,2,2,13.7
77057,8,12,21.39
77058,59,383,14.41
77059,12,31,44.16
77060,18,25,33.38
77061,28,42,15.8
77062,8,11,24.12
77063,11,18,14.39
77065,17,28,22.56
77066,6,9,30.61
77067,59,232,20.83
77068,4,5,23.36
77069,23,61,28.8
77070,16,25,16.24
77071,11,16,19.25
77072,9,12,17.88
77073,7,8,14.57
77075,15,29,19.57
77076,11,11,14.61
77077,13,19,18.3
77078,14,21,15.24
77079,40,125,19.67
77080,3,4,20.41
77081,9,11,15.05
77082,13,18,22.22
77083,59,414,16.11
77084,13,18,12.99
77085,42,126,30.21
77086,20,25,17.61
77087,7,7,38.04
77088,36,60,26.08
77089,9,10,11.12
77090,2,3,12.5
77091,15,19,40.51
77093,8,11,26.19
77094,4,4,13.42
77095,24,39,24.76
77096,31,56,22.02
77097,5,5,16.67
77098,4,4,11.08
77099,32,67,21.72
77100,43,113,26.54
77101,13,24,22.77
77102,5,6,37.74
77103,2,2,9.01
77104,7,15,21.1
77106,7,19,18.74
77107,28,84,24.7
77108,86,1186,21.84
77109,21,39,23.58
77110,4,4,13.29
77111,49,157,22.84
77112,4,7,27.56
77113,9,15,14.33
77114,30,96,24.59
77115,9,12,23.76
77116,23,31,23.7
77117,8,16,17.0
77118,68,436,35.5
77119,8,8,33.47
77120,6,9,14.47
77121,51,189,56.69
77122,63,369,16.59
77123,14,30,36.59
77124,21,32,18.37
77125,16,24,16.69
77126,22,42,23.7
77127,25,45,23.95
77128,31,63,30.0
77129,8,13,22.73
77130,9,10,18.8
77131,81,493,32.33
77132,28,66,22.38
77133,4,4,19.51
77134,3,3,20.0
77135,18,29,20.94
77136,1,1,5.26
77137,4,4,16.46
77138,11,14,25.27
77139,38,190,27.6
77140,5,6,22.47
77141,15,26,21.78
77142,56,180,37.66
77143,31,58,10.83
77144,5,9,20.22
77145,11,14,23.14
77146,41,182,91.46
77147,13,14,21.12
77148,28,42,23.23
77150,10,14,30.04
77151,7,8,28.47
77152,64,439,19.22
77153,51,185,16.41
77154,13,21,16.81
77155,29,67,18.68
77156,15,21,23.15
77157,7,8,24.77
77158,2,2,10.15
77159,36,76,27.67
77161,14,19,24.05
77162,12,22,19.86
77163,7,8,21.0
77164,13,17,30.47
77165,8,11,18.03
77167,5,6,18.99
77168,24,59,27.53
77169,38,165,21.71
77171,41,142,22.18
77172,14,22,24.77
77173,11,14,17.03
77174,14,15,26.32
77175,22,60,19.05
77176,33,69,22.9
77177,8,14,11.3
77178,10,11,22.09
77179,9,13,21.67
77180,13,23,18.33
77181,33,93,24.21
77182,54,157,32.57
77183,65,260,26.77
77184,9,11,18.27
77185,7,7,10.67
77186,74,542,33.99
77187,10,16,27.59
77188,15,18,17.95
77190,10,12,45.11
77191,15,22,20.56
77192,53,179,31.09
77193,6,6,25.1
77194,6,9,21.38
77195,12,15,24.71
77196,16,20,20.92
77197,3,3,17.44
77198,5,5,21.19
77199,14,18,12.94
77200,2,2,16.39
77201,7,8,11.38
77202,11,18,22.11
77203,11,20,14.87
77204,4,4,19.51
77205,5,5,34.25
77206,4,5,26.74
77207,8,9,57.32
77208,22,35,26.22
77209,14,24,20.37
