code_epci,variete_equip,densite_equip_1000hab
200018653,77.9,47.03
200044691,61.1,31.7
249710070,51.4,29.61
249710047,45.7,47.39
200041507,66.0,38.51
249710062,54.1,28.04
200041788,49.0,25.51
249720053,53.2,28.78
249720061,77.0,32.57
249730052,21.7,11.1
249730045,69.1,25.84
200027548,61.8,24.97
249730037,45.4,8.06
249740077,74.7,25.38
249740093,67.9,24.82
249740085,73.5,21.94
249740101,77.3,25.34
249740119,86.0,23.51
200054781,80.7,26.03
200072346,43.9,24.13
200077055,37.8,24.13
200023240,44.3,25.14
200070779,22.2,23.19
200033090,21.8,20.58
247700065,17.9,22.22
200023919,25.4,24.48
247700701,33.5,20.63
200037133,37.5,24.65
200040251,16.4,23.54
247700339,44.3,27.52
247700107,47.2,23.28
200072130,59.4,21.69
200072544,22.4,24.21
200072874,25.3,24.87
247700057,59.4,22.26
247700438,29.8,23.04
247700644,61.0,31.14
200057958,66.4,20.31
247700594,50.5,21.7
200059228,64.9,21.02
247700032,37.9,21.18
200055655,60.9,23.07
200023125,55.4,23.66
200073344,46.4,21.95
200059889,57.8,20.27
247800550,23.1,26.18
200058519,65.9,19.05
200034130,35.1,21.8
247800618,29.2,23.46
247800584,67.2,19.42
200071074,27.4,24.97
200033173,39.2,17.82
200058782,65.9,18.55
249500109,67.6,19.29
200017846,52.1,24.61
249100074,32.1,23.7
200057859,55.7,20.86
249100546,38.2,20.52
249100553,31.5,19.67
200056232,62.5,20.22
249100157,29.9,28.81
200058477,64.5,19.53
249100595,45.2,22.67
EPTPC,76.6,31.99
200035970,21.9,28.03
249500513,29.0,28.82
200056380,56.0,21.41
249500430,27.8,25.02
200073013,30.1,22.08
200058485,66.5,20.15
249500489,42.1,20.21
249500455,46.7,24.37
200066330,20.5,23.79
200049484,14.2,27.76
200070571,31.0,23.23
241800507,72.3,23.47
200011781,23.4,22.92
200000933,36.3,26.33
200032514,10.9,25.45
200036135,48.0,28.23
200069227,16.7,29.23
241800432,27.2,24.74
241800374,20.3,21.81
241800424,27.5,25.42
200007177,19.3,29.93
200027076,19.3,23.07
200068088,29.2,25.89
243600236,51.6,24.02
241800457,33.5,19.53
200033207,71.2,25.42
241800325,23.2,28.74
200040277,42.8,25.6
200033181,49.0,22.66
242852465,29.2,23.37
200070159,23.0,27.94
200006971,47.7,30.26
200069961,46.3,26.64
200069953,29.2,23.09
200058360,22.5,24.72
200070167,21.7,25.07
200069912,23.9,28.56
200066462,34.8,26.64
200007052,21.7,34.71
200068880,15.1,24.23
243600202,24.8,26.12
243600327,69.3,24.44
200068872,30.9,26.53
243600301,30.5,24.09
200035848,25.9,27.72
243600343,14.7,28.12
243600293,25.3,23.14
200035137,14.9,32.14
243600350,26.1,27.99
243600319,32.2,27.81
200018521,18.5,28.13
200040558,24.5,29.75
200071587,26.7,28.63
200072981,29.5,28.25
200043065,46.4,25.4
200043081,37.7,26.74
200072668,23.0,26.19
200072650,34.2,23.27
243700820,30.3,24.6
