codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
01001,,25820,,,,,,346,895,590.8,,,,,,,,,,,
01002,,24480,,,,,,115,266,181,,,,,,,,,,,
01004,,21660,17,3.1,11890,36450,50,6855,15092,10398.2,72.3,65.7,3.2,3.4,25.3,10.2,7,2.6,1.4,3,-14.8
01005,,24610,,2.6,15560,40580,61,800,2028,1329.7,81.5,74.9,2.3,4.3,21.4,10,3.4,2.1,0.4,0.9,-16.3
01006,,24210,,,,,,51,107,76.6,,,,,,,,,,,
01007,,24860,,2.6,15170,39460,60,1184,2874,1915.7,77.2,72.7,2.4,2.1,26.2,7.2,4.2,2.1,0.7,1.4,-14.8
01008,,26300,,,,,,326,753,516.3,,,,,,,,,,,
01009,,24810,,,,,,157,380,256.8,,,,,,,,,,,
01010,,24700,,,,,,481,1122,760.1,,,,,,,,,,,
01011,,24530,,,,,,161,405,265.9,,,,,,,,,,,
01012,,24270,,,,,,144,324,223.1,,,,,,,,,,,
01013,,22180,,,,,,67,127,94.2,,,,,,,,,,,
01014,,22410,13,3,12790,38770,51,1361,3438,2290.1,69.8,64.6,3.2,2,29,11.5,4.8,2.2,0.8,1.8,-15.1
01015,,23800,,,,,,313,734,498.7,,,,,,,,,,,
01016,,23080,,,,,,187,473,312,,,,,,,,,,,
01017,,20790,,,,,,194,419,293.5,,,,,,,,,,,
01021,,26430,,,,,,565,1423,941.2,,,,,,,,,,,
01022,,22000,,,,,,574,1158,836.8,,,,,,,,,,,
01024,,24460,7,2.5,15300,37690,60,1406,3395,2276.3,78.1,71.5,2.6,4,25.8,7,4,2.2,0.6,1.2,-14.9
01025,,24880,6,2.3,16110,37730,58,1628,4204,2762.6,79.4,71.8,2.3,5.3,23,9.4,3.6,2,0.4,1.2,-15.4
01026,,22860,,,,,,434,942,657.2,,,,,,,,,,,
01027,,25770,,,,,,712,1899,1219.5,,,,,,,,,,,
01028,,25520,,,,,,227,598,387.6,,,,,,,,,,,
01029,,21350,,,,,,274,652,438.2,,,,,,,,,,,
01030,,24240,,,,,,364,826,567,,,,,,,,,,,
01031,,20550,20,3.2,11210,35500,44,1479,3238,2254.5,65.9,60.2,3.9,1.8,32.8,8.3,7,2.7,1.5,2.8,-14
01032,,23060,8,2.6,14460,38290,56,1184,3117,2004.6,77.8,71.9,3.3,2.6,23.7,8.1,5.2,3.2,0.7,1.3,-14.8
01033,,23780,17,4.4,11090,48750,46,6545,14862,10156.9,80.9,74.6,4.1,2.2,23.1,5.5,4.4,1.7,0.9,1.8,-13.9
01034,,21180,18,3.2,11510,36260,48,4073,8591,6059.2,64.6,57.4,3.1,4.1,34.7,8.1,6.9,2.3,1.4,3.2,-14.3
01035,,26160,,,,,,145,321,225.1,,,,,,,,,,,
01036,,23820,,,,,,592,1302,911.1,,,,,,,,,,,
01037,,21770,,,,,,126,285,195.3,,,,,,,,,,,
01038,,24250,,,,,,321,776,524,,,,,,,,,,,
01040,,23440,,,,,,195,516,336.4,,,,,,,,,,,
01041,,25150,,,,,,336,747,519.2,,,,,,,,,,,
01042,,25520,,,,,,126,305,206,,,,,,,,,,,
01043,,28730,6,2.9,17010,49170,70,1963,5041,3315.8,82.1,75.1,2,5,24.9,9.3,2.7,1.5,0.4,0.8,-19
01044,,28550,,,,,,276,616,424.8,,,,,,,,,,,
01045,,28180,,,,,,106,278,180.5,,,,,,,,,,,
01046,,24260,,,,,,354,873,583.2,,,,,,,,,,,
01047,,27110,,,,,,484,1277,825.3,,,,,,,,,,,
01049,,26780,,2.7,15940,43540,65,1279,3396,2207.8,81.5,74,2.6,4.9,24.1,8,3.3,1.9,0.5,0.9,-16.9
01050,,23180,,,,,,136,359,232,,,,,,,,,,,
01052,,27630,,,,,,126,316,211.7,,,,,,,,,,,
01053,,20210,24,3.4,10440,35770,46,18870,37019,26779.7,65.3,58.7,3.2,3.4,33.2,7.8,8.3,2.5,1.8,4,-14.6
01054,,27320,,,,,,573,1571,1002.9,,,,,,,,,,,
01056,,21640,,,,,,150,343,233.6,,,,,,,,,,,
01057,,24300,,,,,,204,468,321.8,,,,,,,,,,,
01058,,23420,,,,,,344,801,544.7,,,,,,,,,,,
01060,,24970,,,,,,244,548,379.3,,,,,,,,,,,
01061,,25110,,,,,,460,1183,788.8,,,,,,,,,,,
01062,,28710,,,,,,374,988,641.8,,,,,,,,,,,
