codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
200000172,,26980,8.9,3.5,14510,51450,59.5,11738,27407,18609.4,85.9,78.9,3.6,3.4,19.3,7.3,2.8,1.3,0.5,1,-15.3
200000438,,22790,7.9,2.3,14670,33030,50.6,14852,36105,24117,76.3,70.4,2.9,3,26.7,5.2,4.8,2.5,0.6,1.7,-13
200000545,,18730,26.2,3,10090,30750,39.4,8390,18183,12647.7,60.7,54.2,3.5,3,35.7,5.1,10.4,3.3,2.2,4.9,-11.9
200000628,,20750,21.2,3.2,10890,34730,46,10531,24862,16837.1,68.3,61,3.6,3.7,30.6,7.3,7.3,2.7,1.4,3.2,-13.5
200000800,,22630,10.4,2.7,13690,36490,50.9,4619,9714,6902.2,65.3,57.7,2.5,5.1,37.7,7.2,4.3,1.6,0.7,2,-14.5
200000925,,24930,5.9,2.3,15990,36720,60.1,8797,21821,14550.1,79.1,73.2,2.1,3.8,26.6,5.4,3.7,1.9,0.5,1.3,-14.8
200000933,,21780,13,2.7,12780,34920,47.4,6875,13790,9984.4,59.4,51.5,2.7,5.2,39.6,9.4,5.1,1.6,1,2.5,-13.5
200004802,,24370,14.8,3.5,12120,42810,55.8,12550,28992,19884.6,69.5,58.4,3.3,7.8,32,12.1,3.7,1.5,0.6,1.6,-17.3
200005932,,25770,6.9,2.7,15230,41800,62.3,6661,15398,10529,73.6,68,2.1,3.5,31,9.8,3.1,1.5,0.5,1.1,-17.5
200005957,,20840,18.9,3,11290,34030,41.5,5359,12030,8292.6,66.5,58.1,2.9,5.5,31.4,7.6,7.3,2.6,1.4,3.3,-12.8
200006682,,24320,9.7,3.1,14010,43450,57.3,22576,48496,34182.3,71.4,59.6,2.4,9.4,28.5,14.6,3.5,1.4,0.6,1.5,-18
200006716,,22110,14.5,3,12340,37110,51.8,6791,15329,10527.3,72.7,64.3,2.6,5.8,28.8,7.9,5.9,2.4,1,2.5,-15.3
200006930,,20970,16.4,2.9,11550,33820,43.4,2281,4480,3278.8,58.9,49.6,2.2,7.1,39.2,9,5.5,1.6,1,2.9,-12.6
200006971,,21910,14.8,2.8,12270,34840,49.3,8515,17190,12403.7,60.1,51.7,2.6,5.8,40,8.1,5.7,1.9,1.1,2.7,-13.9
200007052,,19470,20.5,2.8,11210,31550,35,2723,5156,3839.6,51.4,40.2,2.6,8.6,46.6,9.2,4.7,1.2,0.8,2.7,-11.9
200007177,,20640,16.9,2.8,11630,32490,41.5,2110,4468,3161,60.3,51.4,2.6,6.3,38.4,6.6,7.1,2.4,1.1,3.6,-12.4
200010650,,22610,13.7,2.9,12610,36890,51.3,24938,53465,37569.4,67.9,61,2.3,4.6,33.5,7.7,5.8,2,1.1,2.7,-14.9
200010700,,22550,12.2,2.8,13140,36140,50.7,32212,76168,51514.8,74.2,68.1,2.5,3.6,28.7,5.4,5.9,2.4,1,2.5,-14.2
200011773,,27700,17,6.2,10920,67250,43.7,35607,75642,52779,85,78.2,4.1,2.7,20.2,6.5,3,1,0.7,1.3,-14.7
200011781,,21550,14.5,2.7,12230,32890,45.4,4424,9358,6628.3,65,56.6,2.5,5.9,36.3,5.7,5.8,2,0.9,2.9,-12.8
