CODGEO,revenu_median_2019
01001,23970.0
01002,23640.0
01004,20510.0
01005,24050.0
01007,23380.0
01008,25450.0
01009,23790.0
01010,23770.0
01011,24450.0
01012,21070.0
01013,19900.0
01014,21460.0
01015,22700.0
01016,21840.0
01017,20120.0
01021,24810.0
01022,20690.0
01024,22820.0
01025,22970.0
01026,21060.0
01027,24250.0
01028,22560.0
01029,20780.0
01030,22990.0
01031,19570.0
01032,21980.0
01033,22440.0
01034,20030.0
01035,24210.0
01036,22890.0
01037,21450.0
01038,22980.0
01039,21230.0
01040,21610.0
01041,22810.0
01042,24570.0
01043,28010.0
01044,25780.0
01045,26530.0
01046,22870.0
01047,25410.0
01049,25350.0
01050,20770.0
01052,26780.0
01053,19290.0
01054,26360.0
01056,20200.0
01057,22460.0
01058,22180.0
01060,23990.0
01061,24200.0
01062,27790.0
01063,24930.0
01064,22230.0
01065,25650.0
01067,23180.0
01068,21270.0
01069,24070.0
01071,39170.0
01072,24450.0
01073,23630.0
01074,22050.0
01075,23890.0
01076,21600.0
01077,21620.0
01078,40710.0
01079,21380.0
01080,22060.0
01081,25310.0
01082,25150.0
01083,23920.0
01084,22320.0
01085,24350.0
01087,24460.0
01088,27040.0
01089,23440.0
01090,22780.0
01092,24440.0
01093,21990.0
01094,22180.0
01095,21550.0
01096,21890.0
01098,21250.0
01099,24930.0
01100,20970.0
01101,27470.0
01102,22490.0
01103,40750.0
01104,25530.0
01105,27000.0
01106,22170.0
01107,22050.0
01108,21990.0
01109,32180.0
01110,20480.0
01111,21330.0
01112,23770.0
01113,22070.0
01114,27400.0
01115,22470.0
01116,23090.0
01117,21460.0
01118,25360.0
01121,23740.0
01123,24080.0
01124,22050.0
01125,22480.0
01127,23760.0
01128,21320.0
01129,24560.0
01130,22850.0
01133,24120.0
01134,23110.0
01135,40730.0
01136,23490.0
01138,20530.0
01139,19550.0
01140,23500.0
01141,25060.0
01142,24290.0
01143,44820.0
01145,22310.0
01146,22750.0
01147,19880.0
01148,22720.0
01149,26270.0
01150,24280.0
01151,23260.0
01152,26060.0
01153,47550.0
01155,22370.0
01156,24600.0
01157,26090.0
01158,34820.0
01159,22850.0
01160,26770.0
01163,22760.0
01165,24830.0
01166,25200.0
01167,23170.0
