CODGEO,gare_nat,gare_reg,gare_loc,points_gare
75056,7,27,0,10
77014,0,1,0,7
77016,0,0,1,4
77037,0,1,0,7
77040,0,1,0,7
77048,0,0,1,4
77058,0,1,0,7
77067,0,1,0,7
77079,0,1,0,7
77084,0,1,0,7
77096,0,0,1,4
77108,0,1,0,7
77111,1,0,0,10
77122,0,1,0,7
77123,0,0,1,4
77131,0,1,0,7
77142,0,1,1,7
77148,0,1,0,7
77152,0,0,1,4
77169,0,1,0,7
77171,0,1,0,7
77183,0,1,0,7
77186,0,1,0,7
77188,0,0,1,4
77210,0,0,1,4
77215,0,1,0,7
77219,0,0,1,4
77226,0,0,1,4
77229,0,1,0,7
77231,0,0,1,4
77251,0,1,0,7
77255,0,0,1,4
77257,0,1,0,7
77258,0,1,0,7
77260,0,1,0,7
77284,0,1,0,7
77285,0,1,0,7
77288,0,1,0,7
77294,0,2,0,7
77305,0,1,0,7
77312,0,1,0,7
77315,0,0,1,4
77316,0,1,0,7
77317,0,1,0,7
77318,0,1,0,7
77320,0,1,0,7
77327,0,1,0,7
77337,0,1,0,7
77350,0,1,0,7
77368,0,1,0,7
77371,0,1,0,7
77379,0,1,0,7
77390,0,1,0,7
77397,0,1,0,7
77404,0,1,0,7
77407,0,2,0,7
77413,0,1,0,7
77419,0,1,0,7
77420,0,1,0,7
77431,0,1,0,7
77445,0,1,0,7
77449,0,1,0,7
77458,0,1,0,7
77462,0,0,1,4
77464,0,1,0,7
77468,0,1,0,7
77470,0,1,0,7
77475,0,1,0,7
77479,0,1,0,7
77493,0,1,0,7
77494,0,0,1,4
77533,0,0,1,4
78005,0,1,0,7
78015,0,2,0,7
78029,0,1,0,7
78062,0,1,0,7
78089,0,1,0,7
78107,0,1,0,7
78126,0,2,0,7
78138,0,1,0,7
78146,0,1,0,7
78165,0,1,0,7
78168,0,1,0,7
78172,0,2,0,7
78217,0,1,0,7
78220,0,1,0,7
78224,0,2,0,7
78242,0,1,0,7
78265,0,1,0,7
78267,0,1,0,7
78269,0,1,0,7
78299,0,1,0,7
78310,0,1,0,7
78311,0,1,0,7
78314,0,1,0,7
78322,0,3,0,7
78327,0,1,0,7
78335,0,1,0,7
78350,0,1,0,7
78358,0,1,0,7
78361,0,2,0,7
78368,0,0,1,4
78372,0,1,0,7
78380,0,1,0,7
78389,0,1,0,7
78401,0,1,0,7
78423,0,1,0,7
78440,0,1,0,7
78451,0,0,1,4
78465,0,1,0,7
78486,0,1,0,7
78490,0,2,0,7
78498,0,1,0,7
78517,0,1,0,7
78531,0,1,0,7
78545,0,1,0,7
78551,0,2,0,7
78575,0,1,0,7
78586,0,1,0,7
78605,0,1,0,7
78621,0,1,0,7
78624,0,1,0,7
78638,0,1,0,7
78642,0,2,0,7
78644,0,1,0,7
78646,0,5,0,7
78650,0,2,0,7
78672,0,1,0,7
78683,0,1,0,7
78686,0,3,0,7
91016,0,1,0,7
91021,0,1,0,7
91027,0,1,0,7
91045,0,1,0,7
91064,0,1,0,7
91069,0,0,1,4
91097,0,1,0,7
91099,0,1,0,7
91103,0,1,0,7
91105,0,2,0,7
91114,0,1,0,7
91121,0,0,1,4
91122,0,2,0,7
91132,0,1,0,7
91161,0,1,0,7
91174,0,3,0,7
91179,0,0,2,4
91200,0,2,0,7
91207,0,1,0,7
91216,0,2,0,7
91223,0,2,0,7
91226,0,1,0,7
91228,0,3,0,7
91232,0,1,0,7
91272,0,2,0,7
91286,0,1,0,7
91294,0,0,1,4
91312,0,1,0,7
91326,0,1,0,7
91330,0,2,0,7
91345,0,2,0,7
91359,0,1,0,7
91376,0,1,0,7
91377,1,2,0,10
91386,0,1,0,7
91414,0,0,1,4
91421,0,1,0,7
91457,0,1,0,7
91471,0,2,0,7
91477,0,3,0,7
91521,0,3,0,7
91540,0,1,0,7
91549,0,1,0,7
91570,0,1,0,7
91589,0,1,0,7
91593,0,0,1,4
91657,0,1,0,7
91659,0,1,0,7
91687,0,1,0,7
91691,0,1,0,7
92002,0,6,0,7
92004,0,1,0,7
92009,0,2,0,7
92014,0,1,0,7
92022,0,2,0,7
92023,0,1,0,7
92025,0,2,0,7
92026,0,2,0,7
92032,0,1,0,7
92033,0,1,0,7
92035,0,1,0,7
92036,0,2,0,7
92040,0,2,0,7
92044,0,1,0,7
92048,0,3,0,7
92050,0,3,0,7
92062,0,2,0,7
92063,0,1,0,7
92064,0,2,0,7
92071,0,2,0,7
92072,0,2,0,7
92073,0,1,0,7
92075,0,1,0,7
92076,0,1,0,7
93005,0,1,0,7
93007,0,1,0,7
93010,0,1,0,7
93013,0,1,0,7
93027,0,1,0,7
93029,0,1,0,7
93031,0,2,0,7
93032,0,2,0,7
93049,0,1,0,7
93051,0,3,0,7
93053,0,1,0,7
93055,0,1,0,7
93059,0,1,0,7
93064,0,2,0,7
93066,0,3,0,7
93070,0,1,0,7
93071,0,2,0,7
93073,0,1,0,7
93077,0,1,0,7
93078,0,3,0,7
94001,0,1,0,7
94002,0,1,0,7
94003,0,1,0,7
94004,0,1,0,7
94015,0,1,0,7
94016,0,2,0,7
94017,0,1,0,7
94022,0,1,0,7
