codgeo,libgeo,code_epci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
01001,L'Abergement-Clémenciat,200069193,0,4,72,865,0.0,0.0
01002,L'Abergement-de-Varey,240100883,0,2,26,266,0.0,0.0
01004,Ambérieu-en-Bugey,240100883,1,95,186,14822,98.11,94.74
01005,Ambérieux-en-Dombes,200042497,0,16,64,1986,,
01006,Ambléon,200040350,0,1,8,107,0.0,0.0
01007,Ambronay,240100883,1,14,119,2767,89.9,92.86
01008,Ambutrix,240100883,0,9,24,716,100.0,100.0
01009,Andert-et-Condon,200040350,0,1,37,360,0.0,0.0
01010,Anglefort,200070852,0,9,72,1118,0.0,0.0
01011,Apremont,200042935,0,1,28,405,4.32,0.0
01012,Aranc,240100578,0,4,31,322,,
01013,Arandas,240100883,0,2,13,127,13.39,50.0
01014,Arbent,200042935,0,34,68,3386,47.53,79.41
01015,Arboys en Bugey,200040350,0,3,51,722,0.0,0.0
01016,Arbigny,200071371,0,3,41,472,,
01017,Argis,240100883,0,4,30,412,100.0,100.0
01019,Armix,200040350,0,1,4,21,0.0,0.0
01021,Ars-sur-Formans,200042497,0,8,34,1422,,
01022,Artemare,200040350,0,21,29,948,0.74,9.52
01023,Asnières-sur-Saône,200071371,0,1,5,76,,
01024,Attignat,200071751,0,23,137,3298,0.0,0.0
01025,Bâgé-Dommartin,200071371,0,28,403,4056,,
01026,Bâgé-le-Châtel,200071371,0,9,9,582,,
01027,Balan,240100610,0,25,43,1642,100.0,100.0
01028,Baneins,200069193,0,7,50,585,0.0,0.0
01029,Beaupont,200071751,0,10,86,631,0.0,0.0
01030,Beauregard,200042497,0,8,7,483,,
01031,Bellignat,200042935,1,33,37,2242,100.0,100.0
01032,Béligneux,240100610,1,17,66,2720,100.0,100.0
01033,Valserhône,240100891,1,107,289,14285,79.78,87.85
01034,Belley,200040350,0,84,244,8508,0.0,0.0
01035,Belleydoux,200042935,0,2,49,319,0.0,0.0
01036,Valromey-sur-Séran,200040350,0,7,160,1220,13.85,0.0
01037,Bénonces,240100883,0,2,20,283,0.0,0.0
01038,Bény,200071751,0,7,102,755,0.0,0.0
01040,Béréziat,200071751,0,8,54,501,0.0,0.0
01041,Bettant,240100883,0,4,14,661,100.0,100.0
01042,Bey,200070555,0,3,22,270,0.0,0.0
01043,Beynost,240100800,1,37,85,4728,99.81,100.0
01044,Billiat,240100891,0,5,27,608,0.0,0.0
01045,Birieux,200069193,0,3,26,266,0.0,0.0
01046,Biziat,200070555,0,8,66,776,5.02,0.0
01047,Blyes,240100883,0,11,32,1277,0.0,0.0
01049,La Boisse,240100610,0,25,52,3254,98.74,92.0
01050,Boissey,200071371,0,2,44,352,,
01051,Bolozon,200042935,1,2,11,82,100.0,100.0
01052,Bouligneux,200069193,0,2,41,197,40.1,50.0
01053,Bourg-en-Bresse,200071751,1,298,304,33622,95.05,92.95
01054,Bourg-Saint-Christophe,240100883,0,6,36,1378,7.47,0.0
01056,Boyeux-Saint-Jérôme,200029999,0,1,32,341,0.0,0.0
01057,Boz,200071371,0,4,23,460,,
01058,Brégnier-Cordon,200040350,0,11,45,656,0.0,0.0
01060,Brénod,200042935,0,5,40,548,0.0,0.0
01061,Brens,200040350,0,7,65,1061,0.0,0.0
01062,Bressolles,240100610,0,7,23,988,42.33,85.71
01063,Brion,200042935,1,3,21,510,100.0,100.0
01064,Briord,240100883,0,10,52,1068,0.0,0.0
01065,Buellas,200071751,0,11,78,1787,1.26,0.0
01066,La Burbanche,200040350,0,2,10,84,0.0,0.0
01067,Ceignes,200042935,0,5,15,244,0.0,0.0
01068,Cerdon,200029999,0,8,25,670,0.0,0.0
01069,Certines,200071751,0,5,63,1520,1.12,0.0
01071,Cessy,240100750,0,20,61,3873,0.0,0.0
01072,Ceyzériat,200071751,1,25,80,3167,100.0,100.0
01073,Ceyzérieu,200040350,0,6,70,1004,4.38,0.0
01074,Chalamont,200069193,0,29,110,2404,0.0,0.0
