code_epci,libepci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
200000172,?,2,160,820,24276,56.34,65.62
200000438,?,4,194,2110,34667,26.94,48.45
200000545,?,1,129,352,17510,68.33,67.44
200000628,?,1,169,1047,24362,1.85,1.18
200000800,?,2,91,570,9554,51.45,57.14
200000925,?,4,154,579,20846,42.77,49.35
200000933,?,0,129,1118,12760,,
200004802,?,0,231,1858,27002,,
200005932,?,1,112,887,15157,35.68,37.5
200005957,?,0,127,694,11712,,
200006682,?,4,449,1752,47066,37.73,36.3
200006716,?,1,119,599,15176,28.48,34.45
200006930,?,3,77,398,4190,53.54,57.14
200006971,?,1,170,1219,14802,35.56,37.65
200007052,?,0,75,1068,4804,,
200007177,?,2,52,505,4068,39.75,51.92
200010650,?,1,436,1519,51216,25.47,22.94
200010700,?,1,484,2956,67004,0.43,0.83
200011773,?,2,408,897,58970,38.96,37.5
200011781,?,1,70,798,9066,23.72,32.86
200012060,?,0,85,583,5940,,
200013050,?,1,152,574,15192,3.5,3.29
200015162,?,0,64,590,4200,,
200016905,?,0,71,939,5946,,
200017341,?,2,154,820,14308,0.06,0.0
200017846,?,5,359,1214,51216,54.41,47.35
200018083,?,0,150,1258,19580,,
200018166,?,4,643,2926,93355,17.97,21.62
200018406,?,10,243,1756,30734,59.21,58.02
200018521,?,0,58,917,5465,,
200022986,?,0,309,1648,48796,,
200023075,?,0,181,1080,17302,,
200023125,?,3,237,418,40252,67.27,67.51
200023240,?,2,188,673,26908,37.27,40.43
200023299,?,1,120,293,7955,39.69,40.0
200023307,?,1,331,3237,41976,2.17,4.53
200023372,?,17,101,523,13704,97.81,100.0
200023414,?,8,2437,4662,383354,25.48,27.86
200023620,?,1,147,1312,21384,27.28,34.69
200023737,?,2,372,2956,35712,25.0,26.08
200023778,?,2,290,2239,53705,19.77,28.62
200023794,?,0,151,1365,18008,,
200023919,?,1,132,884,17793,23.36,25.76
200026573,?,1,189,960,18500,37.89,34.92
200027027,?,0,216,2139,27260,,
200027076,?,2,85,761,7280,25.01,28.24
200027100,?,1,288,1719,41113,19.37,18.4
200027183,?,4,1670,3263,255348,20.24,20.78
200027217,?,1,163,1729,13322,23.07,38.04
200027308,?,0,151,728,7970,,
200029734,?,0,200,2478,16802,,
200029999,?,1,120,601,13865,15.49,25.83
200030195,?,32,3134,5271,520528,71.21,71.73
200030385,?,6,744,3353,98836,31.93,34.27
200030435,?,0,128,1483,11840,,
200030526,?,0,152,529,19740,,
200030633,?,7,426,1557,58532,27.89,24.41
200030658,?,2,142,976,9268,17.03,21.13
200030674,?,3,529,4893,52300,39.01,33.46
200032514,?,0,52,670,4812,,
200033025,?,2,279,891,30292,39.91,39.43
200033090,?,0,128,434,22912,,
200033116,?,2,291,916,40730,29.97,29.55
200033173,?,1,125,507,21726,27.32,27.2
200033181,?,9,823,2437,121046,37.0,38.4
200033207,?,2,208,1124,28886,47.99,50.0
200033298,?,4,251,2838,25050,34.73,38.25
200033579,?,6,640,1469,90790,31.52,32.03
200033827,?,0,111,842,9505,,
200033868,?,0,125,991,13252,,
200034023,?,4,223,1812,30449,47.14,62.78
200034031,?,0,87,975,5541,,
200034049,?,0,93,1304,10234,,
200034056,?,2,120,1870,12718,18.02,30.83
200034064,?,1,66,806,3806,3.87,3.03
200034098,?,0,99,908,11713,,
200034130,?,2,120,512,21758,34.41,33.33
200034197,?,3,92,1477,10458,26.44,38.04
200034205,?,0,95,619,6518,,
200034270,?,6,178,552,22340,55.82,60.67
200034379,?,0,267,1527,27148,,
200034411,?,0,214,1353,20371,,
200034601,?,0,87,756,4468,,
200034635,?,0,162,515,24203,,
200034692,?,2,530,2965,68556,27.66,32.26
200034700,?,2,495,2451,56408,21.52,28.48
200034718,?,1,239,746,20950,38.6,45.61
200034726,?,0,150,1676,9826,,
200034825,?,2,244,2013,25952,38.02,41.8
200034833,?,4,221,2883,15367,22.96,29.41
200034874,?,0,75,423,5886,,
200034882,?,3,323,1685,41312,52.53,44.58
200034957,?,1,178,1342,27065,9.03,12.36
200035087,?,1,413,2673,59333,2.97,4.36
200035103,?,0,89,1112,5900,,
200035111,?,2,111,1197,10356,26.35,33.33
200035129,?,0,194,1332,16669,,
200035137,?,0,75,1053,5658,,
200035202,?,0,220,2018,21740,,
200035319,?,7,714,2359,112664,42.39,40.48
200035327,?,1,73,1052,4573,2.67,2.74
200035442,?,2,245,1057,25254,6.6,4.49
200035459,?,1,670,4029,77588,22.92,20.45
200035533,?,1,138,1511,11842,3.6,2.9
200035541,?,0,117,1720,9316,,
200035632,?,0,91,1139,5843,,
200035665,?,2,405,1357,58886,17.1,20.74
200035707,?,1,169,1237,14741,20.83,14.79
200035715,?,3,933,3160,106383,24.44,19.29
200035723,?,0,84,809,8287,,
200035731,?,2,709,3923,89026,33.52,37.52
200035756,?,0,89,1451,6370,,
200035764,?,3,133,682,15634,32.74,35.34
200035772,?,0,179,649,13500,,
200035814,?,2,371,3420,45880,20.82,28.57
200035848,?,0,66,686,4964,,
200035855,?,1,250,1800,23648,34.66,35.2
200035863,?,1,364,1228,30340,22.06,16.48
200035970,?,5,209,724,22787,27.83,24.88
200036069,?,0,145,1491,11302,,
200036077,?,0,469,2675,51480,,
200036135,?,1,167,973,15930,29.66,31.14
200036150,?,0,128,641,8027,,
200036465,?,8,258,658,34425,67.18,69.38
200036473,?,2,435,2775,54957,19.09,16.55
200036499,?,10,221,651,18264,77.4,79.64
200036523,?,0,188,3098,13736,,
200036549,?,0,216,951,17337,,
200036572,?,0,58,788,4024,,
200037059,?,0,275,1084,25416,,
200037133,?,4,259,1244,32379,41.33,46.72
200038958,?,0,143,924,9039,,
200038990,?,3,200,2149,25563,16.86,24.5
200039022,?,3,560,5082,79026,24.3,21.07
200039055,?,4,120,543,10557,27.86,18.33
200039063,?,0,89,370,6488,,
200039204,?,3,498,4279,47102,21.83,22.69
200039519,?,0,97,1557,6338,,
200039642,?,2,185,842,13676,28.46,31.35
200039709,?,0,99,586,5912,,
200039758,?,4,211,1322,17029,36.57,40.28
200039808,?,0,170,1412,13009,,
200039824,?,0,112,853,7468,,
200039832,?,0,86,1043,7494,,
200039857,?,2,619,2307,97510,36.39,31.34
200039865,?,5,1304,1801,179905,36.55,38.27
200039907,?,2,161,525,16322,12.9,18.01
200039915,?,7,973,1247,144906,48.41,50.98
200039931,?,7,152,854,7030,39.56,36.18
