code_epci,gare_nat,gare_reg,gare_loc,points_gare
200054781,7,131,1,10
200072346,0,3,4,7
200023240,0,1,1,7
247700057,0,5,2,7
247700594,0,2,0,7
200059228,0,15,2,7
247700032,0,4,1,7
200077055,0,6,1,7
200057958,0,7,0,7
247700339,1,1,0,10
200055655,1,9,2,10
247700438,0,3,2,7
247700065,0,2,1,7
200070779,0,0,1,4
247700107,0,1,1,7
200023125,0,3,0,7
200072874,0,2,0,7
200037133,0,4,0,7
200072130,0,2,0,7
247700701,0,3,0,7
200023919,0,1,0,7
200059889,0,24,1,7
247800618,0,4,0,7
200071074,0,2,0,7
247800584,0,16,0,7
200058519,0,12,0,7
200058782,0,7,0,7
200073344,0,4,0,7
247800550,0,3,0,7
200034130,0,1,1,7
200033173,0,1,0,7
200017846,0,3,2,7
200057859,0,9,0,7
249100546,0,3,0,7
249100157,0,2,2,7
200058477,0,5,0,7
200056232,1,17,0,10
249100553,0,4,0,7
249100595,0,3,1,7
EPTPC,0,7,0,7
249500430,0,2,1,7
200058485,0,16,0,7
200073013,0,4,2,7
200035970,0,3,2,7
200056380,0,10,0,7
249500489,0,3,1,7
249500109,0,11,1,7
249500455,0,4,0,7
241800374,0,0,1,4
200007177,0,0,2,4
241800507,1,0,2,10
200027076,0,0,2,4
200070571,0,0,2,4
200011781,0,0,1,4
241800457,0,0,2,4
200036135,0,0,1,4
200049484,0,0,1,4
200033207,0,1,1,7
200033181,0,3,6,7
200069961,0,0,5,4
200058360,0,2,3,7
242852465,0,0,1,4
200040277,0,2,1,7
200069953,0,2,0,7
200070167,0,1,0,7
200006971,0,1,0,7
200070159,0,1,2,7
200068872,0,1,3,7
243600202,0,0,2,4
243600327,1,0,1,10
243600236,0,1,2,7
200068880,0,0,1,4
200040558,0,0,1,4
200043065,0,1,2,7
200072650,0,1,6,7
243700754,2,0,8,10
200071587,0,2,3,7
200072981,0,1,3,7
243700499,0,0,1,4
243700820,0,1,3,7
200043081,0,2,0,7
200072668,0,0,2,4
200073161,0,0,4,4
200073237,0,0,3,4
200030385,1,1,4,10
200072064,0,0,5,4
244100806,0,1,3,7
200040772,0,0,2,4
200018406,0,1,9,7
200000800,0,1,1,7
200055481,0,1,1,7
200072072,1,0,2,10
200035764,0,0,3,4
200070183,0,2,3,7
244500542,0,0,1,4
200068278,0,0,1,4
244500468,2,0,2,10
244500419,0,0,2,4
200005932,0,1,0,7
244500211,0,1,0,7
200071850,0,0,1,4
244500203,0,1,0,7
200067676,0,0,1,4
200000925,0,1,3,7
200006682,0,2,2,7
200039055,0,0,4,4
242101509,0,0,5,4
200069540,0,0,3,4
200070894,0,1,4,7
242100410,1,1,1,10
242100154,0,1,1,7
242101491,0,1,0,7
242101459,0,1,2,7
200070902,0,1,0,7
200068070,0,0,3,4
242500361,2,1,13,10
242504181,0,1,3,7
242504447,0,1,1,7
200068294,0,0,2,4
200065647,0,1,2,7
242504496,0,1,1,7
242500320,0,0,1,4
200069565,0,0,1,4
242504116,0,1,0,7
242500338,0,1,1,7
200069623,0,0,4,4
200071595,0,0,3,4
243900610,0,0,2,4
200072056,0,0,2,4
200010650,0,1,0,7
200069615,0,0,1,4
200071116,0,1,0,7
243900420,0,1,1,7
243900479,0,0,2,4
243900560,0,0,2,4
200026573,0,0,1,4
200067700,0,0,3,4
200067882,0,0,2,4
245804497,0,0,2,4
200068088,0,1,2,7
200067429,0,0,2,4
200067692,0,0,2,4
200067916,0,1,3,7
245804406,1,0,7,10
247000821,0,0,2,4
200041721,0,0,1,4
247000722,0,1,0,7
247000664,0,1,0,7
247000755,0,0,1,4
247000011,0,1,0,7
200070548,0,0,2,4
247100290,1,1,9,10
247100589,0,1,4,7
200070308,1,1,4,10
200071884,0,1,2,7
200070530,0,0,2,4
200070316,0,0,1,4
200071579,0,0,1,4
200042414,0,0,1,4
247103765,0,0,1,4
200069698,0,1,1,7
200039758,0,0,4,4
200067114,0,1,3,7
200067080,0,0,3,4
248900896,0,2,1,7
200067304,0,0,2,4
248900334,0,1,2,7
248900938,0,1,1,7
248900383,0,1,0,7
200039642,0,1,1,7
200069052,1,1,6,10
249000241,0,0,3,4
200069516,0,0,1,4
241400555,0,1,0,7
241400415,1,0,2,10
200065597,1,0,1,10
200065563,0,0,3,4
200065589,0,0,2,4
200069532,1,1,2,10
200066801,0,1,1,7
241400878,0,1,0,7
200068799,0,0,1,4
200035665,0,1,1,7
242700623,0,1,0,7
200066413,0,1,4,7
242700276,0,1,1,7
200066405,0,0,1,4
200072312,1,1,0,10
200071454,1,0,0,10
200071843,0,1,0,7
200066462,0,1,0,7
200069425,0,0,2,4
200042729,0,1,0,7
200067205,1,1,0,10
200067023,0,1,0,7
200042604,0,1,1,7
200066389,0,1,0,7
200043354,0,0,1,4
246100663,0,1,0,7
200068450,0,1,0,7
200068435,0,0,2,4
200035814,0,1,1,7
200035111,0,0,2,4
200068468,0,1,0,7
200069458,0,0,1,4
200071504,0,0,1,4
200068534,0,1,2,7
200069722,0,0,2,4
247600646,0,2,0,7
247600505,0,1,0,7
200070449,0,2,2,7
247600786,0,1,1,7
247600596,1,0,7,10
247600539,0,0,2,4
247600588,0,0,3,4
200069821,0,1,0,7
200069730,0,0,2,4
200010700,0,0,1,4
200023414,1,2,5,10
200070068,0,0,2,4
200069847,0,0,1,4
247600620,0,1,0,7
240200576,0,1,4,7
240200493,0,1,1,7
200072031,0,1,0,7
200071785,0,3,3,7
240200584,0,0,2,4
200043495,0,1,2,7
200071991,0,1,4,7
240200477,0,1,1,7
200071892,0,1,2,7
240200600,0,1,1,7
240200501,0,0,1,4
200071769,0,0,2,4
240200519,0,0,1,4
245900410,3,8,22,10
200043404,0,1,1,7
200044618,1,0,5,10
200040947,0,4,7,7
200043396,0,2,8,7
200043263,0,1,4,7
245901061,0,1,0,7
200040954,0,2,0,7
200030633,0,1,6,7
245901160,1,0,2,10
200042190,0,2,7,7
245900428,1,0,4,10
200068500,0,1,3,7
200041960,0,4,3,7
200043321,0,1,2,7
245901152,0,2,0,7
246000848,0,0,7,4
246000756,0,1,1,7
246000566,0,1,5,7
200068005,0,0,1,4
200067973,0,2,9,7
200067999,0,1,3,7
246000582,0,2,1,7
246000376,0,2,0,7
246000764,0,2,1,7
246000707,0,1,3,7
246000897,0,0,4,4
200068047,0,1,4,7
246000871,0,3,2,7
200067965,1,0,2,10
246000129,0,2,0,7
246000772,0,0,4,4
246000921,0,2,0,7
246000913,0,0,1,4
200035442,0,0,2,4
200069672,0,1,1,7
200072478,0,0,3,4
200033579,1,0,5,10
200069482,0,0,4,4
200044030,0,0,7,4
246200844,0,1,2,7
246200364,0,3,11,7
200072460,0,3,9,7
200044048,0,0,4,4
246200729,0,2,4,7
246201149,1,1,2,10
200069029,0,2,2,7
246200299,0,4,0,7
200069037,0,1,1,7
246200380,0,1,1,7
200070993,0,2,0,7
200070969,0,2,3,7
200071223,0,1,2,7
248000747,0,1,2,7
248000531,1,1,4,10
248000499,0,2,4,7
200070928,1,1,1,10
200070977,0,1,0,7
200070985,0,1,1,7
200071181,0,1,1,7
200070936,0,1,2,7
240800821,0,1,7,7
200067759,0,1,4,7
240800847,0,0,1,4
200041630,0,2,6,7
240800862,0,0,2,4
200043156,0,1,0,7
241000405,0,0,1,4
200006716,0,1,0,7
200000545,0,1,0,7
200069250,1,0,0,10
200066892,0,0,1,4
245100615,0,0,3,4
200067213,2,2,12,10
200066876,0,1,1,7
200066850,0,1,0,7
200067684,0,1,0,7
200034718,0,1,0,7
200068658,0,1,3,7
200068666,0,1,1,7
200070332,0,0,1,4
200044253,0,0,2,4
200072999,0,0,1,4
200070845,0,1,5,7
200070290,0,0,1,4
200069433,0,0,1,4
200070324,0,2,6,7
200041515,0,3,2,7
245400601,0,0,5,4
200067643,0,2,2,7
245400189,0,3,0,7
200070563,0,1,2,7
245400676,1,0,4,10
200043693,0,0,1,4
245400262,0,1,0,7
245400171,0,0,3,4
200070738,0,1,2,7
200033025,0,1,1,7
200066157,0,1,2,7
200066173,0,0,1,4
245501242,0,0,1,4
200066140,1,0,0,10
245501259,0,0,1,4
