CODGEO,actifs_occupes,part_travail_commune,part_voiture,part_marche,part_velo,part_2roues_motor,part_tc,part_sans_transport,taux_double_motorisation,part_voiture_sur_place
01001,428,12.2,92.2,0.0,0.0,2.3,1.1,4.5,85.7,63.5
01002,112,17.5,91.7,0.0,0.0,0.0,4.1,4.2,83.4,75.9
01004,6409,39.4,71.0,8.5,2.0,1.0,13.0,4.4,53.1,59.8
01005,945,17.4,89.3,1.7,0.0,0.6,2.3,6.1,77.0,61.4
01006,67,7.7,100.0,0.0,0.0,0.0,0.0,0.0,84.6,100.0
01007,1334,13.8,87.0,1.1,0.4,1.1,8.0,2.3,68.5,75.1
01008,416,7.4,81.8,1.2,1.2,1.2,8.5,6.1,82.7,66.7
01009,153,3.7,96.3,0.0,3.7,0.0,0.0,0.0,65.6,100.0
01010,458,20.0,89.5,0.0,1.1,1.1,3.2,5.2,66.5,79.2
01011,154,21.5,94.0,2.8,0.0,0.0,0.0,3.2,64.3,72.1
01012,124,18.4,79.0,3.5,0.0,9.6,0.0,7.9,63.3,38.0
01013,57,18.2,90.9,0.0,0.0,0.0,0.0,9.1,72.7,50.0
01014,1348,33.0,92.9,2.5,0.7,0.0,2.1,1.8,73.0,85.9
01015,298,13.8,96.6,0.0,1.7,0.0,0.0,1.7,82.5,87.8
01016,203,14.2,90.5,0.0,0.0,2.4,0.0,7.2,90.4,49.5
01017,176,10.7,78.0,0.0,0.0,0.0,16.6,5.3,73.6,50.0
01019,10,0.0,66.7,0.0,0.0,0.0,0.0,33.3,0.0,
01021,680,21.3,82.8,5.9,0.0,2.2,3.0,6.0,78.3,47.4
01022,427,21.4,84.8,7.2,0.0,0.0,4.5,3.5,66.6,65.9
01023,53,9.1,100.0,0.0,0.0,0.0,0.0,0.0,81.8,100.0
01024,1706,18.6,90.0,0.6,1.1,1.4,2.0,4.9,78.0,64.8
01025,1952,15.5,90.3,2.6,0.0,1.0,1.8,4.4,82.8,55.5
01026,412,9.6,94.0,1.2,0.0,2.4,0.0,2.4,68.3,62.4
01027,1697,40.5,58.1,5.2,1.2,0.3,11.0,24.0,78.0,22.0
01028,297,11.0,93.5,0.0,1.6,1.6,1.6,1.6,80.4,70.4
01029,370,30.6,88.0,1.2,0.0,2.5,4.2,4.0,79.2,73.3
01030,437,9.3,90.9,2.3,0.0,1.2,4.4,1.1,57.7,74.2
01031,1312,28.4,80.2,9.2,4.3,1.2,2.0,3.1,45.9,54.8
01032,1574,27.4,79.2,3.6,2.0,1.3,11.1,2.9,71.0,69.1
01033,6929,45.6,75.7,7.2,0.8,1.0,11.8,3.3,56.4,69.7
01034,3609,64.2,71.3,13.5,3.7,1.8,4.4,5.4,55.1,60.0
01035,131,19.1,92.5,7.5,0.0,0.0,0.0,0.0,61.6,60.5
01036,594,18.3,90.0,1.7,0.8,0.0,1.6,5.8,73.7,59.0
01037,138,29.0,78.2,3.5,0.0,0.0,0.0,18.2,83.4,25.1
01038,311,14.3,87.3,4.8,1.6,1.6,3.2,1.6,84.4,55.7
01040,213,9.7,95.0,0.0,0.0,0.0,2.5,2.4,87.5,100.0
01041,389,5.0,87.5,1.2,0.0,1.3,8.7,1.2,79.8,50.7
01042,132,7.5,88.3,0.0,0.0,3.7,8.0,0.0,75.9,45.8
