CODGEO,nb_panier_elargi,nb_A1,nb_A2,nb_A4,nb_A5,nb_B1,nb_B2,nb_B3,nb_C2,nb_C6,nb_D1,nb_D3,nb_D4,nb_D5,nb_D6,nb_E1,nb_F1,nb_F3
01001,19,1,0,9,5,0,0,0,0,0,0,0,0,0,0,0,4,0
01002,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01004,431,4,12,111,102,7,43,92,2,0,2,6,4,11,5,1,27,2
01005,50,1,1,23,8,0,3,3,0,0,0,1,1,1,1,0,6,1
01006,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01007,63,1,1,25,13,0,4,2,0,0,1,1,0,3,2,1,7,2
01008,29,1,0,12,4,1,0,4,0,0,0,0,0,1,0,0,5,1
01009,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
01010,26,1,1,11,4,0,2,0,0,0,0,0,0,0,0,0,6,1
01011,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01012,8,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
01013,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
01014,126,1,1,33,23,3,5,38,1,0,0,1,1,4,0,0,14,1
01015,11,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0
01016,10,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0
01017,13,1,0,5,1,0,1,0,0,0,0,0,0,1,0,0,4,0
01019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01021,29,1,1,7,8,0,3,0,0,0,0,1,0,1,0,0,5,2
01022,39,1,1,7,8,1,8,2,1,0,1,1,1,2,0,0,4,1
01023,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01024,69,2,2,24,16,0,6,7,0,0,0,1,1,3,1,0,5,1
01025,62,1,0,23,7,1,5,3,1,0,0,1,2,4,0,0,12,2
01026,24,1,3,3,7,0,2,2,0,0,1,0,0,0,0,0,4,1
01027,64,1,0,30,12,0,6,3,0,0,0,0,0,2,0,0,9,1
01028,16,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,6,0
01029,17,1,1,4,1,0,2,0,0,0,0,0,0,0,1,0,6,1
01030,31,1,1,12,7,0,2,0,0,0,0,0,0,0,0,0,7,1
01031,73,1,1,17,13,1,5,11,0,0,1,1,1,3,0,1,17,0
01032,69,1,1,31,15,1,5,3,0,0,0,1,1,3,0,1,5,1
01033,472,3,14,168,116,5,34,53,2,0,1,7,4,14,4,1,39,7
01034,329,4,11,91,77,5,32,61,2,0,3,5,6,6,6,0,16,4
01035,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
01036,17,1,0,8,4,0,1,0,0,0,0,0,0,0,0,0,3,0
01037,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01038,23,1,0,10,3,0,1,0,0,0,0,0,0,2,0,0,5,1
01040,13,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,6,1
01041,13,1,0,6,2,0,0,1,0,0,0,0,0,0,0,0,3,0
01042,6,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
01043,209,1,2,61,40,8,11,59,1,0,1,2,2,6,1,1,12,1
