code_epci,pv_mwh,pv_sites,pv_kwh_par_hab
240100750,2454.2,696,24.1
244400578,2073.1,321,
243801024,895.4,157,74.8
200043438,3298.9,93,350.4
244000659,1033.1,9,35.4
248000580,64.4,26,
241600329,1457.3,130,
200023737,1848.4,218,43.8
200034684,1380.6,258,
243500741,16249.4,1950,243.1
240700831,6202.8,125,
244000873,86534.6,462,2742.0
247300528,822.9,157,66.6
200040541,1384.6,317,
241927235,1476.2,37,
244600573,851.6,47,217.4
244301057,2868.4,107,
200044030,1019.4,158,34.6
200058519,1887.2,669,5.6
246800585,555.0,130,34.2
200054781,76070.7,16887,11.4
200041333,2446.2,3,66.3
200030526,7260.2,518,352.5
200026573,601.3,154,30.6
242900736,1394.3,13,
200035541,81522.4,218,7570.8
247300353,70.2,14,
200027076,2570.1,66,323.9
200042000,952.6,193,63.8
245600416,1665.0,144,
244100806,179.4,38,16.1
248500571,2476.2,345,
244900585,2387.3,225,
246600373,13439.3,138,659.8
245400601,659.0,188,16.6
244400610,5703.6,940,74.5
200018166,5693.3,1254,55.5
246400014,1182.6,58,
200006872,794.1,183,
245000278,3239.9,67,
200055887,2493.8,427,68.0
241927284,4367.8,85,
246201156,255.0,76,
249500430,0.0,0,0.0
246800684,1588.0,141,
248500621,4740.5,37,155.2
200042935,1558.6,333,27.2
246000707,205.7,35,10.6
200036325,0.0,0,
243500501,1375.1,166,
248000622,1832.5,41,
200035715,22494.9,1029,199.3
243400017,34533.7,2815,68.0
244300018,13460.1,541,
242320109,714.4,71,
245801014,377.8,50,
246500805,0.0,0,
248719288,808.4,146,49.6
200023075,700.7,191,37.4
244800447,1363.8,12,
243500659,831.6,8,30.3
248000358,345.5,32,
247104094,528.6,96,45.9
244500419,459.8,99,26.8
243400520,5608.6,24,109.2
242852630,507.8,45,
241400555,251.3,82,8.4
240500181,10698.4,51,
240100669,70.0,1,
246700777,580.8,111,54.2
243901014,470.0,104,
ZZZZZZZZZ,180686.8,21201,28276.5
241600519,1530.4,116,
246200869,384.4,42,
243700796,972.9,140,
247400112,864.1,184,51.7
200043354,2557.4,177,163.3
247300676,204.8,50,29.2
244500401,0.0,0,
200039709,517.6,51,73.3
245400718,277.1,77,
242214443,530.0,34,
241501089,1583.5,40,318.0
243800091,177.7,2,
200010650,1126.7,348,20.6
243500592,1648.1,151,
241800374,4026.5,190,373.7
200048551,5649.2,536,197.3
200030229,717.8,79,
241200864,3669.2,17,
246800361,267.3,60,
245801063,475.9,68,66.2
200043081,684.7,121,29.2
246600282,9033.4,274,367.5
240700302,594.9,109,65.2
240100891,387.6,128,17.8
246000756,601.8,46,18.7
247400831,1708.7,478,
246401764,3677.9,182,
248600603,940.3,47,
