codgeo,libgeo,epci,pop,n_types_socle_presents,score_socle,taux_couverture_socle
75056,Paris,200054781,2133111,30,96.11,98.56
13055,Marseille,200054807,873076,31,97.51,100.0
69123,Lyon,200046977,522250,30,96.11,98.56
31555,Toulouse,243100518,504078,31,97.51,100.0
06088,Nice,200030195,348085,30,96.11,98.56
44109,Nantes,244400404,323204,30,96.11,98.56
34172,Montpellier,243400017,302454,30,96.11,98.56
67482,Strasbourg,246700488,291313,30,96.11,98.56
33063,Bordeaux,243300316,261804,31,97.51,100.0
59350,Lille,245900410,236710,30,96.11,98.56
35238,Rennes,243500139,225081,30,96.11,98.56
83137,Toulon,248300543,180452,29,87.71,89.95
51454,Reims,200067213,179380,30,96.11,98.56
42218,Saint-Étienne,244200770,172718,30,96.11,98.56
76351,Le Havre,247600596,166058,31,97.51,100.0
21231,Dijon,242100410,159346,29,87.71,89.95
38185,Grenoble,200040715,157477,30,96.11,98.56
49007,Angers,244900015,157175,30,96.11,98.56
69266,Villeurbanne,200046977,156928,30,96.11,98.56
97411,Saint-Denis,249740119,154765,31,97.51,100.0
30189,Nîmes,243000643,148104,30,96.11,98.56
13001,Aix-en-Provence,200054807,147478,31,97.51,100.0
63113,Clermont-Ferrand,246300701,147327,30,96.11,98.56
72181,Le Mans,247200132,145004,30,96.11,98.56
29019,Brest,242900314,139619,29,87.71,89.95
37261,Tours,243700754,137658,30,89.11,91.39
80021,Amiens,248000531,133625,30,96.11,98.56
74010,Annecy,200066793,131715,30,96.11,98.56
87085,Limoges,248719312,129760,31,97.51,100.0
57463,Metz,200039865,120874,29,87.71,89.95
92012,Boulogne-Billancourt,200054781,119808,29,87.71,89.95
66136,Perpignan,200027183,119656,31,97.51,100.0
25056,Besançon,242500361,119198,30,96.11,98.56
45234,Orléans,244500468,116617,30,96.11,98.56
76540,Rouen,200023414,114083,30,96.11,98.56
93048,Montreuil,200054781,111455,30,96.11,98.56
14118,Caen,200065597,108200,30,96.11,98.56
95018,Argenteuil,200054781,107221,29,87.71,89.95
68224,Mulhouse,200066009,106341,30,96.11,98.56
97415,Saint-Paul,249740101,105240,28,86.99,89.21
54395,Nancy,245400676,104260,30,96.11,98.56
59599,Tourcoing,245900410,99011,29,95.39,97.83
59512,Roubaix,245900410,98892,29,88.39,90.65
92050,Nanterre,200054781,97351,30,96.11,98.56
94081,Vitry-sur-Seine,200054781,96205,28,83.27,85.4
94028,Créteil,200054781,92989,30,96.11,98.56
84007,Avignon,248400251,90330,31,97.51,100.0
86194,Poitiers,200069854,90240,31,97.51,100.0
93001,Aubervilliers,EPTPC,90071,30,96.11,98.56
92004,Asnières-sur-Seine,200054781,89662,31,97.51,100.0
92025,Colombes,200054781,88870,30,95.41,97.85
59183,Dunkerque,245900428,86788,30,93.31,95.69
93005,Aulnay-sous-Bois,200054781,86135,29,87.71,89.95
97416,Saint-Pierre,249740077,84077,30,95.41,97.85
78646,Versailles,247800584,83587,29,87.71,89.95
97422,Le Tampon,249740085,81943,29,94.69,97.11
92026,Courbevoie,200054781,81516,30,89.11,91.39
34032,Béziers,243400769,80341,29,94.91,97.33
17300,La Rochelle,241700434,78535,31,97.51,100.0
92063,Rueil-Malmaison,200054781,78186,29,87.71,89.95
50129,Cherbourg-en-Cotentin,200067205,77808,30,96.11,98.56
94017,Champigny-sur-Marne,200054781,77724,30,96.11,98.56
64445,Pau,200067254,77066,30,96.11,98.56
33281,Mérignac,243300316,75729,29,94.91,97.33
94068,Saint-Maur-des-Fossés,200054781,75441,30,96.11,98.56
06004,Antibes,240600585,75130,29,87.71,89.95
97209,Fort-de-France,249720061,74921,29,87.71,89.95
2A004,Ajaccio,242010056,73822,30,96.11,98.56
