code_epci,score_socle,taux_couverture_socle
200054781,91.32,93.65
200054807,89.14,91.42
200046977,89.39,91.67
243100518,88.3,90.55
200030195,87.64,89.88
244400404,88.15,90.4
243400017,85.14,87.31
246700488,84.66,86.82
243300316,86.76,88.98
245900410,82.26,84.36
243500139,81.82,83.91
248300543,86.04,88.23
200067213,76.26,78.21
244200770,80.93,83.0
247600596,87.82,90.06
242100410,79.34,81.36
200040715,83.53,85.66
244900015,81.9,83.99
249740119,92.86,95.24
243000643,81.11,83.18
246300701,83.88,86.02
247200132,84.26,86.41
242900314,80.84,82.91
243700754,80.7,82.76
248000531,82.32,84.43
200066793,81.34,83.41
248719312,83.32,85.45
200039865,71.59,73.42
200027183,79.8,81.84
242500361,74.41,76.31
244500468,84.1,86.24
200023414,77.56,79.54
200065597,75.08,77.0
200066009,77.4,79.38
249740101,83.2,85.33
245400676,81.4,83.48
248400251,84.68,86.84
200069854,75.01,76.92
EPTPC,90.78,93.1
245900428,81.66,83.75
249740077,89.26,91.54
247800584,81.9,83.99
249740085,87.49,89.73
243400769,81.96,84.05
241700434,75.68,77.61
200067205,65.18,66.85
200067254,77.76,79.75
240600585,76.31,78.26
249720061,87.38,89.61
242010056,87.11,89.33
200039915,84.73,86.89
244400644,84.32,86.47
249500109,85.37,87.55
246800726,78.44,80.44
246201149,78.5,80.51
200059228,82.37,84.48
200068781,76.39,78.34
241800507,84.2,86.35
200068120,78.47,80.47
249730045,85.29,87.47
200069250,69.11,70.88
248200099,85.82,88.01
200069110,74.47,76.37
200041317,71.06,72.87
200055655,80.51,82.57
200042174,78.29,80.29
249740093,82.72,84.84
200035319,85.27,87.45
200067999,64.23,65.87
241100593,71.72,73.55
200072130,68.99,70.75
248500589,80.95,83.02
200067932,70.2,71.99
200057958,84.54,86.7
200071678,74.72,76.63
200071892,73.92,75.81
200067106,67.44,69.17
200018653,90.16,92.46
200058519,82.76,84.87
200056232,79.84,81.87
241300417,88.64,90.9
249730037,66.27,67.97
248100737,77.97,79.96
245300330,77.92,79.91
242000354,85.92,88.11
200071165,86.94,89.16
200039857,78.4,80.41
243500782,71.07,72.88
200071454,59.82,61.35
200030385,69.83,71.61
200043172,63.08,64.69
200041630,68.34,70.09
200035715,62.74,64.34
200069052,66.28,67.97
247100589,67.23,68.95
200066355,82.41,84.52
200059889,74.23,76.13
200069409,71.99,73.83
200069300,66.49,68.19
200066918,62.21,63.8
200066876,70.94,72.76
245901160,73.44,75.31
243600327,79.79,81.83
248100430,79.28,81.31
200033579,66.07,67.76
247700057,76.57,78.52
245701362,74.65,76.56
200071751,60.24,61.78
200071827,69.93,71.71
246200729,78.8,80.82
200067825,83.47,85.61
200040459,71.38,73.2
200067965,74.71,76.62
248300493,71.32,73.14
200044618,71.91,73.75
200033181,58.86,60.36
200011773,70.31,72.1
200058485,84.04,86.18
200067551,62.83,64.44
200068047,82.59,84.7
200040590,73.6,75.48
200057859,73.49,75.36
200067874,65.08,66.74
200067114,64.58,66.23
200035731,71.14,72.96
200070308,62.39,63.99
200058782,82.33,84.43
200071082,71.91,73.75
245804406,71.31,73.13
246200364,75.54,77.46
200035459,69.75,71.54
200068757,59.27,60.79
200068674,65.96,67.65
200068500,52.2,53.53
248600413,60.67,62.22
200077014,64.19,65.83
200058477,83.01,85.13
200040277,54.37,55.75
248400053,74.32,76.22
244000808,68.94,70.7
240600551,74.65,76.56
243800604,71.88,73.71
200040392,62.76,64.36
243400819,68.57,70.32
200043396,64.33,65.97
248400236,79.44,81.47
240200477,66.47,68.17
247600786,69.95,71.73
200041507,84.77,86.94
248900334,67.3,69.02
200073344,59.84,61.37
247700594,69.87,71.65
243300563,80.66,82.72
200017846,64.68,66.33
200070647,63.67,65.3
200071876,63.29,64.91
243400520,73.48,75.36
246200299,78.91,80.92
200040442,71.04,72.85
241500230,64.78,66.44
200060010,88.97,91.24
200071363,65.57,67.25
200065647,59.93,61.46
246100663,57.98,59.46
200036473,55.82,57.25
200033207,75.51,77.44
200068641,71.01,72.82
200072460,60.76,62.31
200027548,77.53,79.51
200070092,56.36,57.8
200072312,54.76,56.15
249710062,81.49,83.57
241200187,80.85,82.91
200043495,66.99,68.7
200010650,57.66,59.13
200041762,63.11,64.72
200068666,55.98,57.41
200066926,61.81,63.39
200034700,70.18,71.97
200066058,58.59,60.08
200044691,76.08,78.02
200070993,52.58,53.92
200056380,76.82,78.79
200071629,70.67,72.48
200042935,61.2,62.76
247700107,57.6,59.08
200067684,57.37,58.84
241200567,72.58,74.44
200068658,58.24,59.72
200023307,69.91,71.7
200040947,56.45,57.89
244000675,66.08,67.77
200041788,71.66,73.49
245700372,60.39,61.93
243800984,65.84,67.52
247100290,67.25,68.96
200023125,67.2,68.92
200072452,58.93,60.43
200042190,63.86,65.49
200070746,55.95,57.38
242900769,76.31,78.26
200070233,70.32,72.12
200065928,54.71,56.1
200023737,60.61,62.15
200006682,58.67,60.17
248400319,71.7,73.53
243100781,70.21,72.0
200040244,60.59,62.14
200068997,57.59,59.06
200069532,58.35,59.84
200066389,54.13,55.52
200071140,60.62,62.17
200071066,52.38,53.72
246700967,64.89,66.55
247700644,77.12,79.09
248400293,77.03,79.0
241700640,61.75,63.33
200039022,51.4,52.71
200070753,55.07,56.48
200073419,55.25,56.66
200070514,53.14,54.49
200035665,58.72,60.22
200034692,56.49,57.93
200018406,64.38,66.03
200069821,54.09,55.48
249720053,75.45,77.38
200067346,66.28,67.97
242500338,73.64,75.52
200070324,54.9,56.3
249710070,72.14,73.98
244900809,77.87,79.86
200068104,61.56,63.13
248300394,73.72,75.61
200030674,60.5,62.04
200067437,59.65,61.17
200033116,67.58,69.31
200068799,70.87,72.68
200034882,73.24,75.11
200071116,62.6,64.2
200072015,54.88,56.28
200069391,51.28,52.59
243301165,67.66,69.39
245300447,61.74,63.32
200049187,70.51,72.31
200035087,68.15,69.89
243400470,70.88,72.69
244400610,70.48,72.28
248500621,69.98,71.77
200066231,64.01,65.64
240100891,66.26,67.95
242900801,45.28,46.43
200065886,51.32,52.63
247400740,51.31,52.62
245701222,70.61,72.41
200072346,62.43,64.02
200070563,47.41,48.62
247400690,51.2,52.5
200072072,49.02,50.27
249100546,57.38,58.85
243000585,73.13,75.0
200066124,59.6,61.12
200066975,60.84,62.39
200077055,48.68,49.92
200072031,41.62,42.69
245400262,62.55,64.15
247000011,62.82,64.42
244500203,67.24,68.95
200067502,58.18,59.67
200070407,42.69,43.78
243100633,56.05,57.48
247200348,57.25,58.72
242900835,60.8,62.35
240100883,52.7,54.04
245614433,56.86,58.32
200000545,79.3,81.32
200068989,48.41,49.65
200033025,61.2,62.76
200069037,52.45,53.79
240100750,62.09,63.67
244000873,67.54,69.27
200035814,51.18,52.49
200036077,74.03,75.92
244400586,68.54,70.29
200041515,57.24,58.71
246000582,52.4,53.74
200043123,60.75,62.31
246000871,41.64,42.7
200066322,69.85,71.63
242900645,70.06,71.85
200030633,49.46,50.72
247900798,52.84,54.19
249500489,61.57,63.14
241927201,54.43,55.82
200042901,68.69,70.45
200000628,72.77,74.63
200067817,47.73,48.94
246900575,67.31,69.03
200071934,48.12,49.34
200071785,53.51,54.88
244500211,63.42,65.04
200069029,60.68,62.23
200068450,52.36,53.7
200023240,52.68,54.02
200070530,52.07,53.4
245700398,64.18,65.82
246000756,44.78,45.92
200043065,60.27,61.8
244000659,63.51,65.13
200069961,61.87,63.45
200055887,47.58,48.79
200000172,65.96,67.64
243301223,49.78,51.05
200034825,55.13,56.54
241400555,50.44,51.73
200023778,62.48,64.08
200042604,51.14,52.44
247700032,54.97,56.38
200027100,72.28,74.13
245701164,76.82,78.78
243301504,69.11,70.87
200035855,49.45,50.72
246900757,73.03,74.89
200073245,58.47,59.96
200068146,40.23,41.26
244800405,79.72,81.76
242900694,66.17,67.86
246000921,48.43,49.67
246701080,59.2,60.71
200072726,51.54,52.86
247600646,64.22,65.86
247200090,52.05,53.38
248300410,66.52,68.22
200037133,51.46,52.78
200071843,41.52,42.58
249500455,67.79,69.52
200039949,52.15,53.49
245901152,62.25,63.84
243000593,71.69,73.52
244900882,72.03,73.87
200036465,55.91,57.34
200069383,57.06,58.51
200010700,51.32,52.63
200070712,53.8,55.17
200072643,45.99,47.17
200043404,70.09,71.88
200034718,50.93,52.23
246600282,63.94,65.57
200068112,47.48,48.69
200059400,64.25,65.9
247600620,53.4,54.76
249100595,54.97,56.37
247400724,59.35,60.86
200040764,67.91,69.65
200041366,58.05,59.53
200073096,51.24,52.55
246800569,55.08,56.48
244400552,59.8,61.33
200000438,60.2,61.73
248300550,63.4,65.02
200073161,62.23,63.82
243600236,63.19,64.81
200035863,44.12,45.24
200071553,61.53,63.1
200067924,47.17,48.38
200034023,57.98,59.46
245701271,63.94,65.57
200043602,62.79,64.4
245901061,56.99,58.45
200070365,58.43,59.92
243301264,56.14,57.57
200039204,47.3,48.51
246000764,70.47,72.27
200067262,44.32,45.45
240500439,63.36,64.98
200022986,50.38,51.67
200040624,61.9,63.48
243500659,64.37,66.01
247000722,53.95,55.33
246000376,54.07,55.45
200071991,41.62,42.68
200040566,58.76,60.26
200071926,42.6,43.68
243800935,61.04,62.6
200069425,46.96,48.16
244400503,64.13,65.76
240100800,68.88,70.64
200042729,56.55,58.0
243500725,64.57,66.22
244400453,64.73,66.39
200072882,57.54,59.01
200068807,57.15,58.61
242900660,62.92,64.52
245701404,62.56,64.16
200041333,45.55,46.71
243301249,58.46,59.95
200067973,43.33,44.44
200040905,49.94,51.21
200066777,52.07,53.4
200065787,42.44,43.52
248000747,40.53,41.56
200067361,44.3,45.43
200067460,54.68,56.08
247700339,64.01,65.64
200036499,67.13,68.85
243100567,51.89,53.22
245900758,72.05,73.89
245400189,57.56,59.03
247600729,43.81,44.93
200066413,40.18,41.2
241300375,62.56,64.16
200073260,45.56,46.72
200067791,50.73,52.03
200067866,64.26,65.9
200036135,61.18,62.74
200067916,48.17,49.4
200071918,52.67,54.02
244400438,64.67,66.32
246701064,52.58,53.92
200072734,59.22,60.73
200040681,50.29,51.58
200006971,61.0,62.56
200023620,56.22,57.65
243500741,54.01,55.39
242600252,51.97,53.3
243400355,55.64,57.06
200040350,46.43,47.62
200071884,53.04,54.4
248900938,47.86,49.08
200071967,53.18,54.54
242900751,46.03,47.2
244000865,61.43,63.0
200066744,52.46,53.8
200066280,44.61,45.75
200043990,56.94,58.4
200065894,52.62,53.97
200071314,46.13,47.3
200073427,59.54,61.06
200071405,60.93,62.48
247700701,47.24,48.45
200027217,55.31,56.72
247200686,41.31,42.36
200040509,59.79,61.32
248500258,64.16,65.79
200026573,62.65,64.25
200071868,59.64,61.17
243000650,68.44,70.19
240200600,54.0,55.38
200023372,77.69,79.68
242900553,52.6,53.95
243800778,56.56,58.0
243500634,56.85,58.3
200071413,48.46,49.7
200033298,48.75,50.0
243500774,57.49,58.96
200041960,55.18,56.59
248500340,58.51,60.0
244500427,56.49,57.94
242900702,59.09,60.6
200034379,50.36,51.64
242900074,58.77,60.27
200067023,44.35,45.48
200018166,59.59,61.11
246600449,46.63,47.82
247400583,48.86,50.11
200071900,49.41,50.67
200068567,51.13,52.44
200070845,52.66,54.01
200043081,51.3,52.61
200071850,46.02,47.19
245614383,51.68,53.0
200069623,45.43,46.59
200067155,57.53,59.0
200040574,48.81,50.06
247000664,47.49,48.71
200072650,56.05,57.48
243301405,63.2,64.81
200071157,56.34,57.78
200068468,44.94,46.09
200068542,47.61,48.82
241400514,34.29,35.16
245700695,37.34,38.29
245701354,40.15,41.17
200033173,57.45,58.92
200070431,42.8,43.89
200068765,52.84,54.19
200072999,51.54,52.86
242020071,68.48,70.23
246600373,64.52,66.17
200071546,54.62,56.02
247800618,44.28,45.41
200068377,60.14,61.67
200070902,39.76,40.78
200070183,55.46,56.88
247400773,54.8,56.2
200070662,45.57,46.73
240600593,48.34,49.57
200070464,51.87,53.2
246700926,50.04,51.32
200067635,57.62,59.1
200043156,37.47,38.42
246800445,50.62,51.92
242900793,52.23,53.56
244000543,61.68,63.25
240700864,60.07,61.61
200043974,40.79,41.83
244301016,56.78,58.23
200066868,56.85,58.31
200005932,56.65,58.1
200066462,48.92,50.17
200037059,34.47,35.35
200017341,56.9,58.35
243500667,48.97,50.22
200041994,45.28,46.44
242900744,49.21,50.46
200067981,50.61,51.9
247300254,66.75,68.45
200034270,46.5,47.68
243301447,53.66,55.03
248900383,50.64,51.94
246500482,53.3,54.66
246000129,46.45,47.64
245600440,61.61,63.18
200042497,45.53,46.69
200040491,49.51,50.77
200068948,43.67,44.79
242504116,60.33,61.87
249100553,48.35,49.58
240100610,56.67,58.12
200041614,40.47,41.5
248700189,59.81,61.34
200034957,55.97,57.4
248200057,57.11,58.57
242700623,49.23,50.48
200068229,50.31,51.59
249500430,49.98,51.26
200066827,38.17,39.15
248600447,37.79,38.75
243500550,68.71,70.46
200067072,54.8,56.2
200072064,53.68,55.05
200041689,31.77,32.58
247200421,52.6,53.95
200004802,61.49,63.06
246900724,60.35,61.9
247000755,57.73,59.21
243400694,51.77,53.09
200066652,48.6,49.84
241700624,73.6,75.48
245400171,45.33,46.48
200070761,43.36,44.47
200070316,55.46,56.88
247400617,49.87,51.15
245400601,56.44,57.88
247600588,44.5,45.63
200068559,40.7,41.74
244301032,38.76,39.75
246900625,50.0,51.28
243500618,52.06,53.39
243200417,44.73,45.88
200071579,45.97,47.14
200070571,49.14,50.39
249100074,49.98,51.26
200066660,40.32,41.35
241800457,50.84,52.14
200038990,50.94,52.24
200067742,58.22,59.7
247700438,45.08,46.23
248500464,55.08,56.49
200039758,38.78,39.77
200033090,35.59,36.5
246301097,45.44,46.61
240800821,59.01,60.51
242900710,55.85,57.27
200069953,46.68,47.87
246900740,58.28,59.77
200041150,38.91,39.91
200067940,36.02,36.94
200055481,42.47,43.56
200067221,55.41,56.83
200030435,47.03,48.23
243600319,42.33,43.41
243500733,46.35,47.53
200071587,41.74,42.8
248000499,44.8,45.95
241700699,60.69,62.24
244301131,63.86,65.49
243100773,55.17,56.58
200049211,43.88,45.0
243000296,47.83,49.05
200066785,50.55,51.84
248500662,52.93,54.28
246000566,34.28,35.16
200071512,44.03,45.15
240900464,55.22,56.64
200034130,56.65,58.1
243200391,46.56,47.75
200070977,42.49,43.57
246900765,57.85,59.33
200069730,42.71,43.8
248400335,50.85,52.14
200070043,40.12,41.14
200069755,40.77,41.81
200069995,51.54,52.85
248719288,50.25,51.53
200070951,37.06,38.0
200040384,54.9,56.31
200070787,37.3,38.25
200006716,43.74,44.86
200070373,44.45,45.59
249500513,39.99,41.01
200042646,50.68,51.97
200068864,41.14,42.2
