code_epci,puis_solaire_mw,nb_install_solaire,puis_solaire_kw_par_hab,nb_install_par_1000hab
200000172,3860.2,547,0.14,19.7
200000438,9647.1,920,0.27,25.39
200000545,39105.6,208,2.07,11.03
200000628,43246.1,946,1.8,39.41
200000800,1653.8,148,0.16,14.35
200000925,16259.7,751,0.74,33.99
200000933,44967.2,389,3.3,28.53
200004802,13059.4,1145,0.45,39.4
200005932,2100.3,282,0.14,18.14
200005957,7897.8,377,0.61,29.27
200006682,17907.8,1000,0.35,19.82
200006716,7649.1,284,0.46,17.2
200006930,4900.4,193,0.95,37.31
200006971,16470.6,295,0.92,16.41
200007052,7530.1,156,1.36,28.2
200007177,11882.2,175,2.52,37.15
200010650,16509.2,1268,0.3,23.17
200010700,9936.4,820,0.13,10.51
200011773,9585.5,1289,0.1,13.8
200011781,6753.6,306,0.71,32.33
200013050,81791.0,596,4.71,34.34
200015162,62603.6,296,10.31,48.74
200016905,3215.4,289,0.48,43.24
200017341,23305.5,602,1.58,40.72
200017846,8612.7,624,0.15,11.21
200018083,2276.8,364,0.1,15.68
200018166,30281.2,3744,0.3,36.5
200018406,65101.0,506,1.96,15.26
200018521,13322.9,189,2.23,31.64
200018653,34019.3,602,0.35,6.17
200022986,36624.5,3794,0.72,74.57
200023075,4715.8,681,0.25,36.39
200023125,1731.0,307,0.04,6.68
200023240,4635.9,295,0.16,9.93
200023299,1128.0,145,0.12,15.96
200023307,50088.6,1839,1.05,38.71
200023372,994.6,132,0.07,9.79
200023414,31439.2,2503,0.06,5.03
200023620,24825.3,1232,1.1,54.42
200023737,11105.0,1249,0.26,29.6
200023778,36521.8,2471,0.7,47.15
200023794,8934.9,640,0.43,30.97
200023919,12850.3,320,0.7,17.37
200026573,3553.8,466,0.18,23.74
200027027,16848.6,784,0.59,27.29
200027076,14813.4,283,1.87,35.67
200027100,10573.5,1592,0.23,34.38
200027183,265056.2,10427,0.97,38.2
200027217,6828.8,410,0.42,25.38
200027308,27007.2,281,3.32,34.58
200027548,20952.4,45,0.71,1.53
200029734,22602.8,917,1.14,46.1
200029999,15350.6,487,1.04,33.12
200030195,36218.6,4169,0.07,7.52
200030385,28699.0,1279,0.27,12.04
200030435,26308.9,788,2.04,61.18
200030526,22184.7,739,1.08,35.88
200030633,10415.2,864,0.16,13.58
200030658,7017.6,480,0.68,46.78
200030674,84696.8,2515,1.41,41.73
200032514,7151.2,244,1.32,44.99
200033025,7487.7,497,0.22,14.7
200033090,18759.0,392,0.73,15.33
200033116,3907.2,651,0.08,13.92
200033173,700.5,144,0.03,5.75
200033181,23399.1,1215,0.17,8.88
200033298,20924.2,792,0.78,29.41
200033579,13343.7,1072,0.12,9.77
200033827,33866.3,457,2.56,34.55
200033868,3189.1,442,0.22,30.08
200034023,23303.3,1430,0.72,43.96
200034031,15628.6,430,2.45,67.42
200034049,21938.6,671,1.95,59.78
200034056,23645.5,912,1.65,63.8
200034064,5978.7,208,1.31,45.4
200034098,1886.8,292,0.16,24.09
200034130,1396.4,179,0.06,8.01
200034197,8323.8,497,0.7,41.75
200034205,2639.2,199,0.24,18.37
200034270,6974.4,324,0.29,13.5
200034379,63071.9,1524,2.21,53.5
200034411,10297.1,1170,0.46,52.46
200034601,4619.9,249,0.87,46.66
200034635,70891.3,877,2.66,32.91
200034692,57241.7,3311,0.76,43.87
200034700,177430.3,2484,2.8,39.14
200034718,14341.8,451,0.61,19.12
200034726,29941.6,658,2.65,58.24
200034825,30173.8,694,1.06,24.36
200034833,19457.5,674,1.05,36.24
200034874,7388.4,215,1.23,35.91
200034882,9095.9,858,0.2,18.94
200034957,41950.2,1297,1.49,45.94
200035087,93848.6,2340,1.55,38.72
200035103,6437.3,234,0.86,31.28
200035111,11001.2,232,0.92,19.45
200035129,12052.3,896,0.63,46.67
